# ID    StructName                             R            A            S    
# ------------------------------------------------------------------------------
   2    Left-Cerebral-White-Matter          -19.9980       1.5609      17.4117
   4    Left-Lateral-Ventricle               -7.1068       7.2318      13.8899
   5    Left-Inf-Lat-Vent                   -20.4901       6.8432     -11.7161
   7    Left-Cerebellum-White-Matter        -10.9864     -27.9737     -31.5309
   8    Left-Cerebellum-Cortex              -16.5081     -37.4134     -34.2573
  10    Left-Thalamus                        -3.9736       2.8508       7.3626
  11    Left-Caudate                         -5.9158      30.3249      13.5986
  12    Left-Putamen                        -16.9056      23.0282       4.0291
  13    Left-Pallidum                       -12.4658      16.5176       2.0471
  14    3rd-Ventricle                         6.0455      13.1571      -0.7314
  15    4th-Ventricle                         5.2509     -22.0428     -31.9479
  16    Brain-Stem                            6.0027      -6.1196     -26.7675
  17    Left-Hippocampus                    -18.1374       2.8664     -11.8955
  18    Left-Amygdala                       -14.4422      21.2883     -13.6481
  24    CSF                                   5.2036       1.7555      11.6834
  26    Left-Accumbens-area                  -1.2509      34.8916      -1.3855
  28    Left-VentralDC                       -3.1227       8.4699      -7.3330
  30    Left-vessel                         -18.1865      23.4828      -4.3793
  31    Left-choroid-plexus                 -13.3458     -12.5936       9.7776
  41    Right-Cerebral-White-Matter          30.3726       1.3508      19.8084
  43    Right-Lateral-Ventricle              16.5897      12.9419      15.2043
  44    Right-Inf-Lat-Vent                   33.3939      13.4035     -11.8538
  46    Right-Cerebellum-White-Matter        19.5312     -30.4260     -30.4813
  47    Right-Cerebellum-Cortex              27.5739     -40.1447     -31.1172
  49    Right-Thalamus                       15.4140       2.3246       8.1183
  50    Right-Caudate                        17.2796      30.6479      14.3547
  51    Right-Putamen                        28.9122      23.9414       5.0697
  52    Right-Pallidum                       24.4948      17.6348       3.0398
  53    Right-Hippocampus                    31.6644       0.6688      -9.7186
  54    Right-Amygdala                       27.8478      19.7510     -11.7118
  58    Right-Accumbens-area                 14.1367      35.6552      -0.0229
  60    Right-VentralDC                      15.8189       8.1786      -6.5284
  62    Right-vessel                         31.8283      22.2857      -2.5714
  63    Right-choroid-plexus                 23.7847     -13.0188      11.1643
  77    WM-hypointensities                   -1.7658       6.2837      16.7818
  85    Optic-Chiasm                          7.1071      28.6815     -12.7148
 251    CC_Posterior                          5.6731     -16.1937      13.2217
 252    CC_Mid_Posterior                      5.4754      -0.0804      21.8360
 253    CC_Central                            5.3261      16.0245      22.4888
 254    CC_Mid_Anterior                       5.3753      31.3791      20.8860
 255    CC_Anterior                           6.0767      46.9412      14.6611
1000    ctx-lh-unknown                       -7.0794      19.7539      -6.0654
1001    ctx-lh-bankssts                     -46.4134     -25.8807      -0.8302
1002    ctx-lh-caudalanteriorcingulate        0.5963      35.0915      32.6437
1003    ctx-lh-caudalmiddlefrontal          -24.2364      21.5326      50.2199
1005    ctx-lh-cuneus                        -4.0907     -58.9526      14.1989
1006    ctx-lh-entorhinal                   -14.8597      21.9934     -24.4472
1007    ctx-lh-fusiform                     -22.6456     -19.4822     -19.2702
1008    ctx-lh-inferiorparietal             -37.6446     -51.7847      16.0955
1009    ctx-lh-inferiortemporal             -37.9989      -5.7789     -25.2609
