Feature,Coefficient
age,-2.0890085755378163
head_motion,-0.3778827329971014
IC1-IC2,0.051669737686365666
IC1-IC3,0.038050544113639215
IC1-IC4,-0.04565844432740955
IC1-IC5,0.020423605723449822
IC1-IC6,0.028260254484368166
IC1-IC7,-0.0
IC1-IC8,-0.017398283506659604
IC1-IC9,-0.08537976430915747
IC1-IC10,-0.14074885572892404
IC1-IC11,-0.009812715214237388
IC1-IC12,0.0
IC1-IC13,-0.004840333776983
IC1-IC14,-0.10502620382011528
IC1-IC15,0.0
IC1-IC16,0.024576529017535202
IC1-IC17,-0.002199395391473323
IC1-IC18,0.03785109499668042
IC1-IC19,0.05974764005518945
IC1-IC20,0.028884708775383836
IC1-IC21,-0.03739192065492971
IC2-IC3,0.06132372190110784
IC2-IC4,-0.0
IC2-IC5,0.0
IC2-IC6,0.035144440710346704
IC2-IC7,-0.0004367724806820008
IC2-IC8,-0.03169671083638994
IC2-IC9,-0.036542753018785665
IC2-IC10,0.0
IC2-IC11,0.01128368305018599
IC2-IC12,-0.023084152407586534
IC2-IC13,0.011046386023127928
IC2-IC14,-0.0580026456040975
IC2-IC15,0.0
IC2-IC16,0.03422400742324638
IC2-IC17,0.0523485501955027
IC2-IC18,0.019633450237632327
IC2-IC19,-0.0
IC2-IC20,-0.032561257975312716
IC2-IC21,-0.0
IC3-IC4,0.0
IC3-IC5,-0.0008287308798949649
IC3-IC6,0.0
IC3-IC7,0.014021125150178813
IC3-IC8,0.05453246510472388
IC3-IC9,0.036589697019046664
IC3-IC10,-0.06368510768857062
IC3-IC11,0.0
IC3-IC12,0.07207045876321592
IC3-IC13,-0.0035463510259989453
IC3-IC14,0.00023131303287536432
IC3-IC15,-0.0
IC3-IC16,0.022091732941655968
IC3-IC17,-0.026075916737465867
IC3-IC18,0.0
IC3-IC19,-0.0
IC3-IC20,-0.062214079974264626
IC3-IC21,-0.0
IC4-IC5,-0.03366027167153738
IC4-IC6,-0.016437302455321715
IC4-IC7,-0.0
IC4-IC8,0.043081077428990915
IC4-IC9,-0.018183647347335116
IC4-IC10,0.0
IC4-IC11,-0.04617843227148621
IC4-IC12,-0.1572145045361353
IC4-IC13,0.08246443041809273
IC4-IC14,0.0
IC4-IC15,0.04943947908136017
IC4-IC16,-0.0
IC4-IC17,0.010738637411249474
IC4-IC18,-0.002066794337034318
IC4-IC19,0.0
IC4-IC20,-0.027931741785417626
IC4-IC21,-0.0
IC5-IC6,-0.008409010547899588
IC5-IC7,0.0
IC5-IC8,-0.0
IC5-IC9,0.023591268578994337
IC5-IC10,0.0
IC5-IC11,-0.0
IC5-IC12,0.035485458558559876
IC5-IC13,0.0
IC5-IC14,-0.061486613833566066
IC5-IC15,-0.08981369456924684
IC5-IC16,-0.10938758942546951
IC5-IC17,-0.0
IC5-IC18,-0.0
IC5-IC19,0.0
IC5-IC20,-0.07859367761585245
IC5-IC21,-0.008229252960356861
IC6-IC7,0.10220353206086927
IC6-IC8,0.0
IC6-IC9,-0.0
IC6-IC10,-0.05139162300974909
IC6-IC11,-0.0
IC6-IC12,-0.0
IC6-IC13,-0.08322059726733491
IC6-IC14,-0.06301342789754784
IC6-IC15,0.02687811979279517
IC6-IC16,-0.039026220631698416
IC6-IC17,-0.0
IC6-IC18,-0.0
IC6-IC19,-0.0
IC6-IC20,-0.09888689683921935
IC6-IC21,0.0
IC7-IC8,0.04760123493230192
IC7-IC9,0.08046810849296368
IC7-IC10,0.0
IC7-IC11,-0.0
IC7-IC12,-0.0
IC7-IC13,0.020527091673762248
IC7-IC14,-0.0
IC7-IC15,0.0
IC7-IC16,0.0
IC7-IC17,0.019624208970893245
IC7-IC18,-0.004602595781597652
IC7-IC19,-0.012929992632338863
