Feature,Coefficient
age,-0.12216674277666294
head_motion,-0.09284525431929234
IC1-IC2,0.001652868824962936
IC1-IC3,0.061161345783885074
IC1-IC4,0.016237754085996328
IC1-IC5,-0.0008736045003472444
IC1-IC6,0.004581343128768024
IC1-IC7,0.0125874142122168
IC1-IC8,-0.02524298725037156
IC1-IC9,-0.00620153401053608
IC1-IC10,-0.03246806548918466
IC1-IC11,-0.016268053928860087
IC1-IC12,0.013340230013420365
IC1-IC13,-0.03304328010941629
IC1-IC14,-0.059415992280550625
IC1-IC15,0.0
IC1-IC16,-0.051520243293357366
IC1-IC17,-0.018807580373883682
IC1-IC18,0.03795976748009273
IC1-IC19,0.05989500317179701
IC1-IC20,0.03334067904456216
IC1-IC21,0.012456846728216174
IC2-IC3,0.07276243464172572
IC2-IC4,-0.0
IC2-IC5,0.016831043975712306
IC2-IC6,-0.01696214906552817
IC2-IC7,-0.017910334269584983
IC2-IC8,-0.021587224109409518
IC2-IC9,-0.014174613410795562
IC2-IC10,-0.02950706887004931
IC2-IC11,-0.002082370677888045
IC2-IC12,-0.0
IC2-IC13,0.047614235861961854
IC2-IC14,-0.043405218945699715
IC2-IC15,-0.0798604223027109
IC2-IC16,-0.0024744509525604294
IC2-IC17,0.050658050174579215
IC2-IC18,-0.027054729764862985
IC2-IC19,-0.016409621163209348
IC2-IC20,-0.014854392741935162
IC2-IC21,0.01636389569252303
IC3-IC4,0.023347990757281018
IC3-IC5,-0.033836360071775304
IC3-IC6,0.006770058086235657
IC3-IC7,0.01360276837677154
IC3-IC8,-0.01383555745221013
IC3-IC9,0.007531045684229709
IC3-IC10,-0.008141850199042561
IC3-IC11,0.017222684080860425
IC3-IC12,0.03534780279182289
IC3-IC13,-0.0
IC3-IC14,0.058322739166380644
IC3-IC15,0.029162325812100248
IC3-IC16,0.010153418405272311
IC3-IC17,-0.04643288605332362
IC3-IC18,0.02756748143497255
IC3-IC19,0.0017322263004227875
IC3-IC20,-0.01801520762107687
IC3-IC21,-0.02450564717153724
IC4-IC5,-0.03595288278879774
IC4-IC6,0.0
IC4-IC7,-0.0
IC4-IC8,0.034729807696841974
IC4-IC9,-0.021863737114456588
IC4-IC10,-0.022192020789970957
IC4-IC11,-0.009907325138225459
IC4-IC12,-0.02893307374446231
IC4-IC13,0.007167004252626578
IC4-IC14,0.028946316305364178
IC4-IC15,0.03810332801514506
IC4-IC16,-0.06879562397452428
IC4-IC17,-0.0125636198911811
IC4-IC18,-0.0038723356993593016
IC4-IC19,0.04443178942624892
IC4-IC20,-0.02119784103427475
IC4-IC21,0.0023095876250930096
IC5-IC6,-0.02237015808947632
IC5-IC7,0.04674409781167267
IC5-IC8,-0.014426502989104752
IC5-IC9,-0.0
IC5-IC10,0.013973021948937443
IC5-IC11,-0.013424007518805863
IC5-IC12,-0.009202527486589493
IC5-IC13,-0.004020040359585315
IC5-IC14,-0.0
IC5-IC15,-0.05397893211547738
IC5-IC16,0.0
IC5-IC17,-0.01713195421178948
IC5-IC18,-0.05226082837949626
IC5-IC19,0.03799462758730116
IC5-IC20,-0.033188051901510564
IC5-IC21,-0.03782860794835675
IC6-IC7,0.03189541455849207
IC6-IC8,0.06807163463088996
IC6-IC9,-0.0
IC6-IC10,-0.00012783098567738889
IC6-IC11,-0.009021867562097219
IC6-IC12,-0.011925880633614707
IC6-IC13,-0.04597831115070792
IC6-IC14,0.030641021205939523
IC6-IC15,0.011148089612662325
IC6-IC16,-0.017593216451385327
IC6-IC17,-0.0033084289229037356
IC6-IC18,-0.017316437144844144
IC6-IC19,0.012513617522025823
IC6-IC20,-0.05410575646876384
IC6-IC21,0.0026538437962829605
IC7-IC8,0.06554945188877877
IC7-IC9,-0.0
IC7-IC10,0.02701080630356196
IC7-IC11,-0.026349486769184454
IC7-IC12,0.03750912294638054
IC7-IC13,-0.028476035918654236
IC7-IC14,0.04445168803945543
IC7-IC15,-0.0015570742155332881
IC7-IC16,-0.0
IC7-IC17,-0.02405820584114294
IC7-IC18,0.015395614256526018
IC7-IC19,-0.024761052882027918
IC7-IC20,-0.05230915378390675
IC7-IC21,0.0
IC8-IC9,0.0
IC8-IC10,-0.016377130665911517
IC8-IC11,-0.047667918233660116
IC8-IC12,-0.0482248012109359
IC8-IC13,-0.024091886031413226
IC8-IC14,0.0
IC8-IC15,0.04895199356596446
IC8-IC16,-0.056836677401090725
IC8-IC17,0.0069839703548173464
IC8-IC18,-0.014649894400892715
IC8-IC19,-0.0
IC8-IC20,-0.030915371841627303
IC8-IC21,0.004158900534998518
IC9-IC10,0.04937504022389281
IC9-IC11,0.0
IC9-IC12,0.011141352654167784
IC9-IC13,-0.016504266442817727
IC9-IC14,-0.02158746018145394
IC9-IC15,0.023099120309864385
IC9-IC16,0.0
IC9-IC17,-0.004558396770474298
IC9-IC18,-0.018343604404981673
IC9-IC19,-0.021179812437338474
IC9-IC20,-0.014998651416173283
IC9-IC21,-0.0030642355494525935
IC10-IC11,0.0053064102307289075
IC10-IC12,-0.017547125237642486
IC10-IC13,-0.012113570057407286
IC10-IC14,-0.02292055751688817
IC10-IC15,-0.0766964236974194
IC10-IC16,-0.0
IC10-IC17,-0.018972004132761285
IC10-IC18,-0.00667194382603612
IC10-IC19,0.06926459441571295
IC10-IC20,0.0019245945852075243
IC10-IC21,-0.06069800320637336
IC11-IC12,0.0
IC11-IC13,-0.004731755107367563
IC11-IC14,-0.011070866366580735
IC11-IC15,-0.01202160974358139
IC11-IC16,-0.0
IC11-IC17,-0.02667529247370083
IC11-IC18,-0.034954561973801236
IC11-IC19,-0.01279230290066937
IC11-IC20,0.007311591213064394
IC11-IC21,-0.02467750142551476
IC12-IC13,0.021771001512600797
IC12-IC14,0.03730836411650528
IC12-IC15,0.03226896371246688
IC12-IC16,0.011385022681891318
IC12-IC17,0.011120079799023864
IC12-IC18,-0.008924417638159472
IC12-IC19,-0.04415813585878652
IC12-IC20,0.0010597336502838008
IC12-IC21,0.02195287530630952
IC13-IC14,-0.0
IC13-IC15,-0.06467998581757031
IC13-IC16,-0.07672558845053958
IC13-IC17,-0.027571230675118803
IC13-IC18,-0.02476923298137965
IC13-IC19,-0.10664535028760795
IC13-IC20,-0.0
IC13-IC21,0.006611199435246113
IC14-IC15,0.0
IC14-IC16,-0.025584221961154806
IC14-IC17,0.03551347721332718
IC14-IC18,0.0
IC14-IC19,0.01344433261145837
IC14-IC20,-0.015458555603466382
IC14-IC21,0.013850643643943748
IC15-IC16,-0.017027599013798432
IC15-IC17,0.0809474786822635
IC15-IC18,-0.006021838931391768
IC15-IC19,0.019767292888240858
IC15-IC20,0.011419898545632488
IC15-IC21,0.048354494851267416
IC16-IC17,-0.07577546433675399
IC16-IC18,0.0026111552199261675
IC16-IC19,0.038117702096381635
IC16-IC20,-0.000984646157856591
IC16-IC21,0.022417216291053806
IC17-IC18,0.027337236531100043
IC17-IC19,-0.012729692555716507
IC17-IC20,-0.012175168497257272
IC17-IC21,0.03579211193190402
IC18-IC19,-0.011488130182695344
IC18-IC20,0.040431237928670344
IC18-IC21,0.02056629375229018
IC19-IC20,-0.016330662850281914
IC19-IC21,0.008454550614717744
IC20-IC21,-0.0069502588340404296
sex_1,0.10077172763390915
assessment_centre_11026,-0.10802480553642739
assessment_centre_11027,-0.15035503144138115
