Feature,Coefficient
age,67.24030015275848
head_motion,12.25199924050838
IC1-IC2,-0.5535517843347983
IC1-IC3,-5.138374007955137
IC1-IC4,3.325620670882549
IC1-IC5,-0.6751858328283311
IC1-IC6,0.520275149622222
IC1-IC7,-0.0
IC1-IC8,-0.1615853610740386
IC1-IC9,0.845367994869949
IC1-IC10,8.177071580421945
IC1-IC11,2.183517116982235
IC1-IC12,-0.15081031707642104
IC1-IC13,-0.3516144519574389
IC1-IC14,7.609784989229006
IC1-IC15,-0.07388000911296863
IC1-IC16,1.977792411848673
IC1-IC17,0.0
IC1-IC18,-1.6249418402527438
IC1-IC19,-5.270055821141975
IC1-IC20,-2.3738334931200056
IC1-IC21,-0.9453858729921181
IC2-IC3,-3.151895707024683
IC2-IC4,0.5138875982813415
IC2-IC5,-2.9638644750163765
IC2-IC6,-4.35821168269213
IC2-IC7,4.022559972237905
IC2-IC8,0.6730694706666392
IC2-IC9,2.9253417128824357
IC2-IC10,0.1040026824024933
IC2-IC11,0.0
IC2-IC12,2.4633081489837187
IC2-IC13,-3.6409284139495113
IC2-IC14,0.6932181880931395
IC2-IC15,0.37846160676369917
IC2-IC16,-0.7460514777619934
IC2-IC17,-5.678576419005059
IC2-IC18,1.6432312808734586
IC2-IC19,-0.0
IC2-IC20,4.074547513487771
IC2-IC21,-0.16610193418651345
IC3-IC4,-0.7129655926804153
IC3-IC5,0.6800521929838672
IC3-IC6,2.3025238881826957
IC3-IC7,-0.9669464963755426
IC3-IC8,-1.3260436084066662
IC3-IC9,-1.3986659310156409
IC3-IC10,4.026771375416005
IC3-IC11,-1.7821698021329486
IC3-IC12,-1.2439932233793936
IC3-IC13,1.546971206640756
IC3-IC14,-0.7886498282219724
IC3-IC15,-2.0022340596976034
IC3-IC16,-1.104776349001629
IC3-IC17,2.829454529180326
IC3-IC18,-2.2356149345920837
IC3-IC19,-0.0
IC3-IC20,2.694383305044304
IC3-IC21,3.0702203784487905
IC4-IC5,1.5512873135797238
IC4-IC6,1.618842092598395
IC4-IC7,-1.939503425832724
IC4-IC8,-2.6080198839957833
IC4-IC9,2.2624958285854064
IC4-IC10,1.963963033725912
IC4-IC11,1.3147278437226102
IC4-IC12,7.346471185918824
IC4-IC13,-1.5027963758920386
IC4-IC14,1.1067326683484102
IC4-IC15,-3.880582899948168
IC4-IC16,1.7970101662812479
IC4-IC17,-0.07657019872957728
IC4-IC18,-0.8941216133098581
IC4-IC19,0.0
IC4-IC20,1.9330380329124615
IC4-IC21,0.0
IC5-IC6,0.6099033150430783
IC5-IC7,-0.8916208378532055
IC5-IC8,2.6784310451623323
IC5-IC9,-1.6782138665983817
IC5-IC10,-2.177579197710523
IC5-IC11,1.2864817159086246
IC5-IC12,-1.8113011652016782
IC5-IC13,0.9464129099139985
IC5-IC14,2.9681706871764537
IC5-IC15,4.2895399584768175
IC5-IC16,2.6814249675977173
IC5-IC17,1.012001855809862
IC5-IC18,-0.025747855473273285
IC5-IC19,0.0
IC5-IC20,4.865455147805545
IC5-IC21,1.1718991422171228
IC6-IC7,-5.389964015317108
IC6-IC8,-2.0940029213579603
IC6-IC9,0.5124600910467296
IC6-IC10,0.8867662498190614
IC6-IC11,1.2720116632189011
IC6-IC12,2.1907828116115997
IC6-IC13,2.0540492845132268
IC6-IC14,2.685566711169578
IC6-IC15,-1.5196723268801158
IC6-IC16,2.793208553829207
IC6-IC17,-0.0
IC6-IC18,2.2080767388675717
IC6-IC19,-0.0
IC6-IC20,5.44944864920988
IC6-IC21,-0.0
IC7-IC8,-3.447980455160893
IC7-IC9,-4.056764526778012
IC7-IC10,-3.609734198771418
IC7-IC11,0.08107852415007749
IC7-IC12,-1.4412266866740235
IC7-IC13,0.0
IC7-IC14,0.0
IC7-IC15,0.7041615831574278
IC7-IC16,-1.2463180361227009
IC7-IC17,-0.7482734617973644
IC7-IC18,-0.2348819597119984
IC7-IC19,1.3690014158867578
IC7-IC20,3.5102482842661966
IC7-IC21,-1.0699974373513987
IC8-IC9,-2.644376544987681
IC8-IC10,1.6745679612307303
IC8-IC11,3.8627708362047257
IC8-IC12,5.479450077451609
IC8-IC13,-0.6944424084791978
IC8-IC14,1.4530623081453067
IC8-IC15,-6.182581589679974
IC8-IC16,2.883872885189379
IC8-IC17,0.4222877104789835
IC8-IC18,1.9814835876617791
IC8-IC19,-0.0
IC8-IC20,0.3728244055531813
IC8-IC21,0.007743661194203378
IC9-IC10,-0.630627903159249
IC9-IC11,-0.0
IC9-IC12,-0.0
IC9-IC13,-0.2574990908328985
IC9-IC14,3.2334450974127122
IC9-IC15,0.0
IC9-IC16,-1.4435564133827734
IC9-IC17,1.2359069062877928
IC9-IC18,-0.0
IC9-IC19,-2.7843882712488885
IC9-IC20,-0.8790993018865852
IC9-IC21,0.0
IC10-IC11,0.8269781437925073
IC10-IC12,3.417793559010984
IC10-IC13,-0.0
IC10-IC14,0.7261808809553966
IC10-IC15,5.136981303822304
IC10-IC16,-1.745456075138901
IC10-IC17,1.9521378181190148
IC10-IC18,0.05968120404020441
IC10-IC19,-3.311954682355439
IC10-IC20,-0.4629719362158443
IC10-IC21,6.003803222122941
IC11-IC12,-0.2331322532762633
IC11-IC13,1.5053332565706876
IC11-IC14,-0.05008665151498002
IC11-IC15,0.6667904098147545
IC11-IC16,-0.0
IC11-IC17,0.8437743259977392
IC11-IC18,2.0226819010561297
IC11-IC19,-0.21805225671035372
IC11-IC20,-1.0293935417513371
IC11-IC21,1.5210189564332148
IC12-IC13,0.10176522606006712
IC12-IC14,-2.173191512786448
IC12-IC15,-0.691319754296805
IC12-IC16,0.9489970196769846
IC12-IC17,0.09003234769418238
IC12-IC18,1.220448295240769
IC12-IC19,1.2501312420198905
IC12-IC20,1.2461929378551087
IC12-IC21,-1.6321830215710904
IC13-IC14,1.6496673585014485
IC13-IC15,9.750463628197275
IC13-IC16,8.721102999255239
IC13-IC17,2.05083759242727
IC13-IC18,1.8397765603511136
IC13-IC19,1.8023872899230622
IC13-IC20,0.3611949153879364
IC13-IC21,0.15320414530959303
IC14-IC15,1.9974857391445864
IC14-IC16,0.0
IC14-IC17,-7.094521426002152
IC14-IC18,1.65563164389429
IC14-IC19,1.477590934346502
IC14-IC20,-1.752248620346581
IC14-IC21,-0.9352424049816779
IC15-IC16,-0.16626165279334276
IC15-IC17,-0.4303686159452441
IC15-IC18,1.1580111852176143
IC15-IC19,-1.2366329960918556
IC15-IC20,-2.6136585134455617
IC15-IC21,-1.7129574199679172
IC16-IC17,3.52725754451285
IC16-IC18,1.9646353456323955
IC16-IC19,0.0
IC16-IC20,3.509788989541612
IC16-IC21,-0.6249836515670805
IC17-IC18,-2.90183266106248
IC17-IC19,1.7754466383083543
IC17-IC20,-0.9972108467757754
IC17-IC21,-6.057901170310877
IC18-IC19,-1.1684134238889428
IC18-IC20,-5.300194933585792
IC18-IC21,-4.597815756910937
IC19-IC20,0.9950749212333425
IC19-IC21,-1.02014726601846
IC20-IC21,2.8715268731987953
sex_1,9.895226059677698
assessment_centre_11026,0.5003082869381145
assessment_centre_11027,-0.0
