Feature,Coefficient
age,-0.10317276325463658
lh_bankssts,0.05039757583297727
lh_caudalanteriorcingulate,0.0
lh_caudalmiddlefrontal,-0.0006521448410980149
lh_cuneus,0.004182790051196527
lh_entorhinal,-0.0
lh_fusiform,0.023240651512631282
lh_inferiorparietal,0.0
lh_inferiortemporal,0.05692575554499612
lh_isthmuscingulate,-0.04296774570272273
lh_lateraloccipital,0.0
lh_lateralorbitofrontal,0.06690376118839535
lh_lingual,-0.008102408668660166
lh_medialorbitofrontal,-0.006494502393364909
lh_middletemporal,-0.003842938488642413
lh_parahippocampal,-0.0
lh_paracentral,0.002661833046661855
lh_parsopercularis,-0.0
lh_parsorbitalis,-0.02139491851171444
lh_parstriangularis,0.0
lh_pericalcarine,-0.03571140064595402
lh_postcentral,0.016234056202636155
lh_posteriorcingulate,-0.0
lh_precentral,-0.020029630825326862
lh_precuneus,0.0
lh_rostralanteriorcingulate,0.0775806085434728
lh_rostralmiddlefrontal,0.0
lh_superiorfrontal,0.02709390970216769
lh_superiorparietal,-0.04144608408555626
lh_superiortemporal,-0.019904508603322442
lh_supramarginal,0.03390248366579354
lh_frontalpole,0.030912264746807316
lh_temporalpole,-0.023887019208997617
lh_transversetemporal,0.04434579335280537
lh_insula,-0.02126598180334435
rh_bankssts,0.021506204667063863
rh_caudalanteriorcingulate,-0.03160718562982295
rh_caudalmiddlefrontal,-0.017860631404457025
rh_cuneus,0.03627031074155657
rh_entorhinal,0.010059915636013625
rh_fusiform,0.0
rh_inferiorparietal,0.019485649471009885
rh_inferiortemporal,0.007353915361027051
rh_isthmuscingulate,-0.02299422086510991
rh_lateraloccipital,-0.0032509684087232297
rh_lateralorbitofrontal,0.023357258381758807
rh_lingual,-0.03796849727445491
rh_medialorbitofrontal,0.005095243299441598
rh_middletemporal,0.028203230506418986
rh_parahippocampal,0.01791408723446996
rh_paracentral,0.030999427110782192
rh_parsopercularis,-0.017365424799677988
rh_parsorbitalis,-0.0
rh_parstriangularis,-0.007647506678816218
rh_pericalcarine,-0.018683471141740675
rh_postcentral,-0.011930756996024536
rh_posteriorcingulate,-0.00183873598058642
rh_precentral,-0.01350506686436946
rh_precuneus,0.018836107054338982
rh_rostralanteriorcingulate,0.07153123888879279
rh_rostralmiddlefrontal,0.002670713514102611
rh_superiorfrontal,0.052984157025317745
rh_superiorparietal,-0.08048874922984872
rh_superiortemporal,-0.030567486012778693
rh_supramarginal,-0.0
rh_frontalpole,0.053665336349469704
rh_temporalpole,-0.01963732989502994
rh_transversetemporal,0.027249590367517677
rh_insula,0.012420385086127958
sex_1,0.10119507550851413
assessment_centre_11026,-0.07653152355046401
assessment_centre_11027,-0.1749816250432803
