Feature,Coefficient
lh_bankssts-lh_caudalanteriorcingulate,0.01956854005797749
lh_bankssts-lh_caudalmiddlefrontal,-0.0
lh_bankssts-lh_cuneus,0.08447483933013405
lh_bankssts-lh_entorhinal,-0.0
lh_bankssts-lh_fusiform,0.03447795210692812
lh_bankssts-lh_inferiorparietal,-0.0
lh_bankssts-lh_inferiortemporal,0.0
lh_bankssts-lh_isthmuscingulate,0.0
lh_bankssts-lh_lateraloccipital,0.0
lh_bankssts-lh_lateralorbitofrontal,0.0
lh_bankssts-lh_lingual,0.0
lh_bankssts-lh_medialorbitofrontal,0.0
lh_bankssts-lh_middletemporal,-0.05901687446718529
lh_bankssts-lh_parahippocampal,-0.11299318669678939
lh_bankssts-lh_paracentral,-0.0
lh_bankssts-lh_parsopercularis,-0.0
lh_bankssts-lh_parsorbitalis,0.0
lh_bankssts-lh_parstriangularis,-0.05398217325134242
lh_bankssts-lh_pericalcarine,-0.0
lh_bankssts-lh_postcentral,-0.0
lh_bankssts-lh_posteriorcingulate,0.0
lh_bankssts-lh_precentral,-0.1489654308538794
lh_bankssts-lh_precuneus,-0.3284912448307774
lh_bankssts-lh_rostralanteriorcingulate,0.4445070007384251
lh_bankssts-lh_rostralmiddlefrontal,0.0
lh_bankssts-lh_superiorfrontal,-0.2344586192866494
lh_bankssts-lh_superiorparietal,0.0
lh_bankssts-lh_superiortemporal,-0.8941127889716574
lh_bankssts-lh_supramarginal,-0.0
lh_bankssts-lh_frontalpole,-0.2672004869556732
lh_bankssts-lh_temporalpole,-0.0
lh_bankssts-lh_transversetemporal,-0.3191357867915134
lh_bankssts-lh_insula,-0.20347470327677608
lh_bankssts-rh_bankssts,-0.24576686352081156
lh_bankssts-rh_caudalanteriorcingulate,0.1979849894637004
lh_bankssts-rh_caudalmiddlefrontal,-0.2071275889539082
lh_bankssts-rh_cuneus,-0.0672442209712603
lh_bankssts-rh_entorhinal,0.0
lh_bankssts-rh_fusiform,0.13188595194411154
lh_bankssts-rh_inferiorparietal,-0.0
lh_bankssts-rh_inferiortemporal,0.0
lh_bankssts-rh_isthmuscingulate,0.0
lh_bankssts-rh_lateraloccipital,0.05750936446837923
lh_bankssts-rh_lateralorbitofrontal,0.3222215386757529
lh_bankssts-rh_lingual,0.0
lh_bankssts-rh_medialorbitofrontal,0.0
lh_bankssts-rh_middletemporal,-0.0
lh_bankssts-rh_parahippocampal,-0.0
lh_bankssts-rh_paracentral,-0.4288211497223078
lh_bankssts-rh_parsopercularis,-0.9696174912021016
lh_bankssts-rh_parsorbitalis,-0.0
lh_bankssts-rh_parstriangularis,-0.0
lh_bankssts-rh_pericalcarine,-0.05856483639838917
lh_bankssts-rh_postcentral,0.0
lh_bankssts-rh_posteriorcingulate,0.1886538530612109
lh_bankssts-rh_precentral,-0.0
lh_bankssts-rh_precuneus,-0.21827674800442748
lh_bankssts-rh_rostralanteriorcingulate,0.0
lh_bankssts-rh_rostralmiddlefrontal,0.0
lh_bankssts-rh_superiorfrontal,-0.0
lh_bankssts-rh_superiorparietal,-0.0
lh_bankssts-rh_superiortemporal,-0.42582051068540727
lh_bankssts-rh_supramarginal,0.0
lh_bankssts-rh_frontalpole,-0.09148589877453374
lh_bankssts-rh_temporalpole,-0.0
