,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
age,0.4450775547096864,0.6281569253742022,0.5188602908276723,-0.17717410679219828,-0.15501430090564047,0.08379090283006765
lh_caudalanteriorcingulate_thickness,-0.055810365703385476,0.05788685425263331,0.021379212541111334,0.23855928548197863,-0.08259785010775836,0.0789054639065074
rh_caudalanteriorcingulate_thickness,-0.01611288928875855,0.08373335089850255,-0.05836372221290454,-0.04445559581850627,0.12845446330943416,0.18195636824034198
lh_caudalmiddlefrontal_thickness,-0.1607630733112271,0.0270973376256308,0.16351050741207596,0.08117463684089649,0.08060313296558262,-0.23327138354140278
rh_caudalmiddlefrontal_thickness,-0.14647876610784485,0.047542817315188515,0.13331424245364162,-0.1333765666126942,0.10942402194752922,-0.07464362034971259
lh_cuneus_thickness,-0.030653241339729843,0.17103245889073124,-0.21389555516243133,0.05794924813445229,-0.14887782854382065,-0.129836433564734
rh_cuneus_thickness,0.0050164326828078115,0.20941638134442409,-0.2845832900692011,-0.05711647741513365,0.07420688382192941,-0.20921389880165184
lh_entorhinal_thickness,-0.10584218234525337,-0.024787782863925217,0.00828535606832642,-0.08482715762976335,-0.26173325128354835,-0.09538649289849528
rh_entorhinal_thickness,-0.10178928431464879,-0.023647186238371084,-0.042327643087004714,-0.19383057563291184,-0.09625744378450211,-0.10231646112249934
lh_fusiform_thickness,-0.11258456328147526,0.08690715382299313,0.008474866583331303,0.08140652453898059,-0.13501473792291244,-0.014142291277541517
rh_fusiform_thickness,-0.11202378109505763,0.0851421675897734,-0.08312700593590112,-0.13279528048115083,0.0032043678343778984,0.038714255480189794
lh_inferiorparietal_thickness,-0.15501471201668304,0.05094300753613866,0.11219353497350201,0.03700904382988904,-0.07903205082159374,-0.03194194529479188
rh_inferiorparietal_thickness,-0.16580730333446672,0.033596462078730314,0.039200964824155554,-0.12633620945244783,0.0753321718505139,-0.03075984304611427
lh_inferiortemporal_thickness,-0.06831830907254556,0.126074756087385,0.0722583677383966,0.13491989546648947,-0.08325345192094924,0.01550016363532549
rh_inferiortemporal_thickness,-0.09422106059827591,0.09548067318495118,-0.02000245443401259,-0.026245474616496615,0.15814125597347004,-0.08845885047229429
lh_insula_thickness,-0.09193915590524229,0.06576485380185536,-0.038213212565825945,0.16483152173302068,-0.11399020520288743,0.2658674215223488
rh_insula_thickness,-0.09579186655068612,0.0677361352768023,-0.08057612478273629,-0.03371539464895662,0.03114270799827836,0.3032461339479801
lh_isthmuscingulate_thickness,-0.07618491605778992,0.039987653468840645,-0.01004720684541775,-0.01842433444961232,-0.18649403769261752,-0.004531687313579453
rh_isthmuscingulate_thickness,-0.07015406462458137,0.038971559729071584,-0.032152962097609726,-0.10607111566738321,-0.011394638448102972,-0.05713125396887122
lh_lateraloccipital_thickness,-0.05380745823570579,0.1774394656753814,-0.06963295982184713,0.050758412683591936,-0.15210996127472515,-0.09277186069994837
rh_lateraloccipital_thickness,-0.04500574122074177,0.18667739413868142,-0.13535448702347821,-0.11272640219549875,0.06324695799573382,-0.1381495830858151
lh_lateralorbitofrontal_thickness,-0.06730017687914228,0.13177681315945722,0.02370572817865704,0.23886975299234212,0.056124676403346,-0.08957536654556948
rh_lateralorbitofrontal_thickness,-0.02261724306434026,0.19758241843370541,0.030159879881863604,0.043784538907679,0.28294342663490085,-0.04317606372781124
lh_lingual_thickness,-0.04545852209207042,0.12953260791357404,-0.23492068361530152,0.017390655844419893,-0.24484078604290066,-0.103736125192976
rh_lingual_thickness,-0.008107489060229131,0.1803763613037533,-0.2695523881378262,-0.21439604190940909,-0.12764193462502102,0.015482583537963454
