,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
age,0.30461056031984746,-0.317408792998305,-0.12835005781533576,0.01599368131702101,0.11671595997228734,0.3055799052572257
lh_caudalanteriorcingulate_thickness,-0.010456229739981263,-0.1118911446796001,0.10656848434065168,0.3061470733271957,-0.1399602478513625,0.08301602488130377
rh_caudalanteriorcingulate_thickness,0.08506760868797719,-0.20462346816812124,0.2879031441064739,-0.024719557435744513,-0.09964353223044449,-0.06589392164852684
lh_caudalmiddlefrontal_thickness,-0.13947266370558611,-0.06616072729964527,-0.13415060266205478,0.11733451937369559,0.17023206325657467,0.015327116802258041
rh_caudalmiddlefrontal_thickness,-0.12166331073887635,-0.08293898315283874,0.002670035305662782,-0.01271062170772916,0.27815454190829536,0.06497825655471298
lh_cuneus_thickness,-0.11201220650782302,-0.04696628620938735,0.0017693260274613304,0.17170658617169487,-0.028189307716202407,-0.12668924705927453
rh_cuneus_thickness,-0.08610698938343361,-0.05722664615568932,0.1717264375157903,0.06025151361065165,0.13579918561655635,-0.012802165773232201
lh_entorhinal_thickness,-0.08869557188360452,-0.003299302035805253,-0.05127652605602488,-0.05728527571727803,-0.1662267806084512,0.28067889838035437
rh_entorhinal_thickness,-0.04773114914247638,-0.05219716418749759,0.021666792680736936,-0.2246402440072234,-0.09820546306583347,0.26618361721887723
lh_fusiform_thickness,-0.13308710407986676,-0.05964087442566362,-0.055223211587560335,0.05312242974373224,-0.1086164140196443,0.15769306510787662
rh_fusiform_thickness,-0.1020479995230843,-0.09527325289509499,0.0844978498098626,-0.17221931314794015,-0.06413318141257465,0.016523711071658426
lh_inferiorparietal_thickness,-0.09631006822653561,-0.14429080659476493,-0.19119848526995953,0.013605856472614789,-0.018264728890562222,-0.05930631730777528
rh_inferiorparietal_thickness,-0.14489738039931377,-0.06921431818673017,0.011918012826262247,-0.08156000923590459,0.13820377302968564,-0.011107199994435655
lh_inferiortemporal_thickness,-0.1044588110537615,-0.07124001254261662,-0.1297970078310936,-0.03755058380764748,-0.16413899183679803,0.2607215906107687
rh_inferiortemporal_thickness,-0.1108240398437844,-0.06782383704845966,0.05769759530654896,-0.1259729356197306,0.0693703784647341,0.23371394252553795
lh_insula_thickness,-0.18764237420646665,0.07149178684218072,0.07762882834101256,0.0914404664777028,-0.16026825093692057,0.17304806805771505
rh_insula_thickness,-0.13579717869895042,-0.006172981250408161,0.13406100105499935,-0.2156809218095517,-0.18919181157947,0.016779891448905633
lh_isthmuscingulate_thickness,-0.008577492550146058,-0.13167728514523228,0.06632873926689754,0.13817543182572906,-0.1530019328961553,-0.11891434265253531
rh_isthmuscingulate_thickness,0.004169739525546398,-0.135473807719156,0.2084759793994461,0.08508226531700287,-0.034440943530578645,-0.17998017588491155
lh_lateraloccipital_thickness,-0.10660577668334076,-0.0934832703016055,-0.14837852591746714,0.011046703960135965,-0.11512895548250461,-0.033385589970836016
rh_lateraloccipital_thickness,-0.09340073939325856,-0.0998469453347249,0.0004554124963248188,-0.18901983737692607,-0.0191056893826107,-0.07805473823231807
lh_lateralorbitofrontal_thickness,-0.05501019921146413,-0.1411291590466768,-0.07852539881510653,0.06444230779470456,-0.13230890596742878,0.1190075197768939
rh_lateralorbitofrontal_thickness,0.03881405033660089,-0.2603673362222809,0.0719802191032862,-0.10710460191400589,0.035191982416809035,0.13669933818661356
lh_lingual_thickness,-0.09838433369538084,-0.046751803146504206,-0.026107071334258835,0.10326521270150504,-0.14465726800780254,-0.15577337049979514
rh_lingual_thickness,-0.06564385742296858,-0.07223843432210665,0.18119638871556892,-0.028109453239213242,0.03551176373802201,-0.05877074199258368
