,Component_1,Component_2,Component_3,Component_4,Component_5
age,0.3413115648510498,0.4179550288593123,-0.3135698058619244,0.21383482665970427,0.14365638882517823
lh_caudalanteriorcingulate_thickness,-0.08841413003473995,0.006511607397738429,-0.06461288098414265,-0.148359846433785,0.16805340349996195
rh_caudalanteriorcingulate_thickness,-0.04970547664680441,0.030327546026198273,-0.0277743008775604,0.09672442560129976,-0.08159236207275243
lh_caudalmiddlefrontal_thickness,-0.14610638317509606,0.05297482175736063,-0.15538521204799235,-0.027632889752123135,-0.006365303523970932
rh_caudalmiddlefrontal_thickness,-0.14402699352719353,0.0509498578252849,-0.07548410769173072,0.026503501481397573,-0.23433655594971853
lh_cuneus_thickness,-0.017045880314423827,0.18501053031451703,0.2501834569937914,-0.045818870010440556,0.11411190582525782
rh_cuneus_thickness,0.013555952284023617,0.21265547832597156,0.32070704703158764,0.044214858290495,-0.08131836785075167
lh_entorhinal_thickness,-0.1059021157886828,-0.02081006057882936,-0.006469930818851932,-0.0018298085364267414,0.12477583446040603
rh_entorhinal_thickness,-0.08219131870643896,0.015009324018539808,-0.03873086406405397,0.1599308339899778,0.02515141516448457
lh_fusiform_thickness,-0.12019400414643366,0.07376752604635207,-0.003188006960042211,-0.04654855684268984,0.17460824566957595
rh_fusiform_thickness,-0.11287978598902172,0.08416546187710106,0.05408577912450173,0.13367220625830417,0.0015947441717728468
lh_inferiorparietal_thickness,-0.15534762842871722,0.05260598280473931,-0.12346611056802326,0.09506242123379256,0.19444341860109743
rh_inferiorparietal_thickness,-0.16520691101925594,0.036175472864446556,-0.013601255294713734,0.08249677671654664,-0.15166652719715665
lh_inferiortemporal_thickness,-0.0752910666150032,0.10935942607320633,-0.018302911419305862,-0.22636896791411268,0.03480257134827188
rh_inferiortemporal_thickness,-0.10088882307007531,0.08138666623406515,0.0675979300280099,-0.0853844063268856,-0.19937395957628282
lh_insula_thickness,-0.11467229380066839,0.02595649976216368,0.109573791204575,-0.28054893942974235,0.05314163359329072
rh_insula_thickness,-0.09365858214694286,0.0718784495963678,0.04917331430632084,-0.015292579872626189,-0.0007148474710003602
lh_isthmuscingulate_thickness,-0.07440862079806199,0.04683211799314595,-0.07644413779463873,0.08288910250520078,0.14592074151217643
rh_isthmuscingulate_thickness,-0.1069008471796273,-0.019369998711574948,0.03183085763093346,0.10272663153640889,-0.05066225811235993
lh_lateraloccipital_thickness,-0.02362371012384437,0.22014448895704397,0.057680356566688816,-0.008083312301153263,0.1486541562913906
rh_lateraloccipital_thickness,-0.0166628763273201,0.22517414192285298,0.1371115059143881,0.06036073288675782,-0.14453744371100177
lh_lateralorbitofrontal_thickness,-0.07644832374228408,0.11339028140914248,-0.015912475510138947,-0.20417317665886764,0.07885530741681934
rh_lateralorbitofrontal_thickness,-0.0752845435923732,0.10344531262844663,0.03964023379801229,-0.05279511925423478,-0.16320954971643417
lh_lingual_thickness,-0.03149103147057942,0.14623675426929067,0.2671810524305411,-0.032768428350672285,0.18189306268204491
rh_lingual_thickness,-0.006654456756294281,0.17425535919714402,0.3026589749703102,0.1654683285354093,0.04681318855308217
lh_medialorbitofrontal_thickness,-0.04405153429127917,0.11155153063592149,-0.010377802270622611,-0.23687311794732002,0.05249438227438971
rh_medialorbitofrontal_thickness,-0.03563128864043216,0.11384128056980762,0.032317954360289544,-0.08198033664715643,-0.13003354012488028
lh_middletemporal_thickness,-0.08839785770168318,0.103936423888367,-0.05097605758923099,-0.21804799401502978,0.07654966752418181
rh_middletemporal_thickness,-0.08933390605671658,0.111840459625756,0.009708233264070982,-0.03202314895014968,-0.18153455106253683
lh_paracentral_thickness,-0.13932883494672496,0.05256442615834645,-0.04763677385204287,0.08046851663787223,0.1642746538596425
rh_paracentral_thickness,-0.1178208409968066,0.07884478612836643,-0.02329341608485521,0.19790358343336803,0.030239146527970488
lh_parahippocampal_thickness,-0.11988260604130573,-0.04663403471360342,0.01994120486201401,0.15060016446363697,0.24476187485232434
rh_parahippocampal_thickness,-0.10154733666560273,-0.003043884922184121,-0.018942570007998743,0.36823183714625835,0.19487709861330876
lh_parsopercularis_thickness,-0.11372125830679265,0.08120381042544104,-0.08738696535036065,-0.1692434588891282,-0.037370194177311286
rh_parsopercularis_thickness,-0.09932495542651111,0.1067170395367086,-0.08526964608591829,-0.01552257609424281,-0.16633162672216817
lh_parsorbitalis_thickness,-0.1468504202983236,-0.014814970145447233,0.004649784429820143,-0.1470629861976945,0.03961841510463431
rh_parsorbitalis_thickness,-0.14436330101468473,-0.010127275158539112,-0.004165665877074238,0.027269848616645588,-0.051216918929531445
lh_parstriangularis_thickness,-0.13813585810323664,0.04658447030664531,-0.0994338762236412,-0.14888003250470463,-0.03737239481937634
rh_parstriangularis_thickness,-0.11445826276282774,0.0838513819485692,-0.13420283553225348,0.06216154589823432,-0.08918971814207804
lh_pericalcarine_thickness,0.026806245062586723,0.20713604066543592,0.2328478361490004,-0.03493418075998003,0.19064163376701182
rh_pericalcarine_thickness,0.05216152761216521,0.2286540403194027,0.2903273383843032,0.08348937301650264,-0.04844119757995079
lh_postcentral_thickness,-0.14920659465680566,0.03933029269586921,0.00409402089830716,0.02242860557063339,0.17341924165157102
rh_postcentral_thickness,-0.13476548360755497,0.04448331227682393,0.06659719207220678,0.17062918521476894,-0.06512423640840291
lh_posteriorcingulate_thickness,-0.07851958731973165,0.05567541456046445,-0.11391745074593786,-0.1005870826631158,0.058780158337447534
rh_posteriorcingulate_thickness,-0.08970013235146682,0.03300588965377471,-0.0533218379754257,0.039883750169060844,-0.15109378770329293
lh_precentral_thickness,-0.17129775730549343,0.018784978748193883,-0.008659987347684263,-0.08397318177167291,-0.015124868620362017
rh_precentral_thickness,-0.158345291126165,0.03416706277762095,0.005594163138979398,0.10358691471229683,-0.12784286476767068
lh_precuneus_thickness,-0.141432425575815,0.06804301947293878,-0.04864041621625279,0.05542009409616298,0.08962185069213448
