,Component_1,Component_2,Component_3,Component_4,Component_5
age,0.43934674277860325,0.6329260342064226,0.5053040775095222,-0.1375400807545094,-0.1162778125020124
lh_caudalanteriorcingulate_thickness,-0.04210506984906371,0.08234968584122408,0.03433424909484888,0.2247718103053217,-0.06371358900232899
rh_caudalanteriorcingulate_thickness,0.009101728108781121,0.12909357309460967,-0.06802449642518288,-0.0886117575539476,0.09642590236996224
lh_caudalmiddlefrontal_thickness,-0.16718987051378847,0.01614942806901937,0.17869697415327038,0.07038189889805081,0.10633429590408347
rh_caudalmiddlefrontal_thickness,-0.15074394317176193,0.03939810024197857,0.12023296987537056,-0.1391387942432233,0.1142762998939551
lh_cuneus_thickness,-0.029665557135688206,0.17868659788146177,-0.1348577787176563,0.059695461714484414,-0.2251338980918517
rh_cuneus_thickness,-0.0044859816961215675,0.19683942141540442,-0.2742777099779743,-0.020140158493777035,0.0875429770364634
lh_entorhinal_thickness,-0.09665273519623292,-0.013103475536310062,0.002233870589148071,-0.028199024737404536,-0.23522543245531896
rh_entorhinal_thickness,-0.07817291034287699,0.01476162025902128,-0.02548267220216101,-0.18871422090871795,-0.13335272634016124
lh_fusiform_thickness,-0.11475581218082972,0.08279308736710568,0.0009102473409072704,0.1264043469485221,-0.07550761136744635
rh_fusiform_thickness,-0.09965573892425844,0.10720538008636453,-0.07476682905415626,-0.15006596574610173,-0.05955725243527987
lh_inferiorparietal_thickness,-0.15166801387945078,0.057626647812956865,0.14518067265399112,0.044595607054527066,-0.0674464580812063
rh_inferiorparietal_thickness,-0.1572634431292611,0.0488720943528725,0.06046536050630992,-0.15316020062494265,0.022833738627672275
lh_inferiortemporal_thickness,-0.07302012325377881,0.11795646814976596,0.0470040217082239,0.18043690276176366,0.005856494029319653
rh_inferiortemporal_thickness,-0.0820214737953277,0.11720465837835814,-0.01628505602396859,-0.05884763693279838,0.12430750309893987
lh_insula_thickness,-0.1043166044945127,0.04236559460131226,-0.08218693333674923,0.1786610730818908,-0.07782599150597957
rh_insula_thickness,-0.09686180972718564,0.0650178485888252,-0.11981595542769366,-0.0739411393474367,-0.03250236895687518
lh_isthmuscingulate_thickness,-0.06881834645820568,0.052449313906440385,0.011292102443993472,-0.018191060172709,-0.2242537751998612
rh_isthmuscingulate_thickness,-0.07020383901185127,0.03578519950661278,-0.06364366338382772,-0.09477229140798943,-0.01606818643107589
lh_lateraloccipital_thickness,-0.06637225844743048,0.1591190185376322,-0.05320039347172797,0.11523784110843953,-0.09449000929682343
rh_lateraloccipital_thickness,-0.049018190281183455,0.18294458809324923,-0.1265612809483735,-0.0892501542039415,0.060944263482760726
lh_lateralorbitofrontal_thickness,-0.06955643950240299,0.12887934887164967,0.027200144886484562,0.19072120078156954,0.010074686567209381
rh_lateralorbitofrontal_thickness,-0.031020636277243285,0.18313309280160356,-0.04056520250286049,0.01792134398569415,0.30541098597913596
lh_lingual_thickness,-0.05590224132241354,0.1134111356967924,-0.20742905960420058,0.08606735865113818,-0.21929510846761566
rh_lingual_thickness,-0.007716998357840982,0.18426338557346297,-0.24420785884220048,-0.1970597788422646,-0.21353754469957006
lh_medialorbitofrontal_thickness,-0.06805337199796999,0.07122662010193417,-0.06398030430889891,0.19076242303704233,-0.04757766404000736
rh_medialorbitofrontal_thickness,-0.048174626131247386,0.09178961885574403,-0.16691842120797828,0.03398442815395947,0.18972988425614573
lh_middletemporal_thickness,-0.10189605432572738,0.08261712350526182,0.04530397600943601,0.18623787900578018,-0.07438083847475212
rh_middletemporal_thickness,-0.09730147189326958,0.09961880793979012,-0.051109969105368594,-0.10211558665252868,0.08301056381881959
lh_paracentral_thickness,-0.13526955487507186,0.06006223377342044,0.08707672665458038,-0.012492637335844554,-0.1801747636394774
rh_paracentral_thickness,-0.12213716443042844,0.07166747595985375,0.0014997799705375881,-0.17625928778365624,-0.08716582354485047
lh_parahippocampal_thickness,-0.050301445369441915,0.06416508917963813,-0.041082513752295456,0.061888796745261265,-0.1518429190321373
rh_parahippocampal_thickness,-0.031343715096266746,0.1099653272109504,-0.07206222508941035,-0.1563891197639383,-0.10183018755295231
lh_parsopercularis_thickness,-0.14867234517304462,0.021307465890733998,0.09534607855591759,0.10833353937793458,0.044112894901308694
rh_parsopercularis_thickness,-0.13340713277402128,0.04905400644125915,0.045960350153176524,-0.11868921810776956,0.03986880245710345
lh_parsorbitalis_thickness,-0.1275546995632998,0.015462198141039815,0.0807298761581697,0.09482431711006248,0.018342571769322184
rh_parsorbitalis_thickness,-0.11343725024070432,0.03974216847278699,0.053486847468740266,-0.07485818604946064,0.10856741520704889
lh_parstriangularis_thickness,-0.15228462959591468,0.021711004673375327,0.14828572923784292,0.03655535185921677,-0.058356055929029524
rh_parstriangularis_thickness,-0.13169202305474484,0.05380845611849376,0.0992476722121512,-0.15178096955912532,0.00805593931502145
lh_pericalcarine_thickness,-0.016091030948272623,0.14614266893776054,-0.22293346907617098,0.13288182485077893,-0.18064539554729264
rh_pericalcarine_thickness,0.026934353899919553,0.2000352409585265,-0.3022376523577745,-0.03429350226255016,0.06832615607262642
lh_postcentral_thickness,-0.14409891162894217,0.04758697635493017,0.050144780602102174,0.11525421137633869,-0.049123179187461105
rh_postcentral_thickness,-0.12042718014165363,0.0684499005586045,-0.03291563573617064,-0.1784390131279207,-0.011404003257187864
lh_posteriorcingulate_thickness,-0.07215350529011534,0.06274595727528086,0.0366302835568585,0.12293786305167244,-0.07434919030517818
rh_posteriorcingulate_thickness,-0.07500954618146104,0.051658066914679404,-0.07957560697958072,-0.0725973070291362,0.09494841444422353
lh_precentral_thickness,-0.1792855686680694,0.0028113386871301636,0.060921993340476994,0.11527588915785526,0.05974660894743466
rh_precentral_thickness,-0.17256091031936974,0.005596409135540341,-0.029550552822322405,-0.08452969478401132,0.1807199369142144
lh_precuneus_thickness,-0.15698618205790882,0.04146635203814918,0.07061360717940475,0.061996000760707715,0.01609850903090082
rh_precuneus_thickness,-0.1427693078331944,0.06773501418511126,0.005761089465851779,-0.11493259604236125,0.04068763718586618
lh_rostralanteriorcingulate_thickness,-0.038086651268504634,0.12537462873143027,0.026253983509406303,0.1731050909107684,-0.036194177240974755
rh_rostralanteriorcingulate_thickness,0.021514879347089774,0.18878180728726113,-0.06228002418066628,0.006032613767178794,0.13431903917832053
lh_rostralmiddlefrontal_thickness,-0.17253032857022532,0.0197780815523889,0.17035470014408585,0.024038668101075928,-0.05918802766420913
rh_rostralmiddlefrontal_thickness,-0.15265243898466832,0.04630273022234628,0.07593242479516948,-0.13638199766596856,0.0827078298429617
lh_superiorfrontal_thickness,-0.2018513645441838,-0.0183264578056962,0.15190620952915912,0.02577651747340415,-0.09316647922048564
rh_superiorfrontal_thickness,-0.18480943283197138,0.007018554964889536,0.06472841402412725,-0.1746265769477305,0.029090208968705882
lh_superiorparietal_thickness,-0.1455768953925367,0.05680515842229141,0.12868746525752012,0.07867218601864874,0.031240082160358354
rh_superiorparietal_thickness,-0.13550131767447202,0.07079932751623566,0.04399686981718353,-0.1527743286146594,0.09003255364486469
lh_superiortemporal_thickness,-0.16361716260704467,0.003569406481157987,-0.042679393065263756,0.16717091945117013,-0.13169505809469342
rh_superiortemporal_thickness,-0.16530913602256633,0.0073450496102436215,-0.13866116643752713,-0.12226544786016479,-0.0559125309512142
lh_supramarginal_thickness,-0.1698439748650586,0.025697378522665626,0.12217490256982554,0.07489704052176903,-0.01555251547976837
rh_supramarginal_thickness,-0.1627601932002587,0.033243692305769915,0.008390040720786968,-0.1083353294053295,0.09703918678325407
lh_transversetemporal_thickness,0.007601901508675583,0.19019577326911105,-0.061255585496009894,0.28084204915572275,0.28624219876997703
rh_transversetemporal_thickness,0.0023545694740812607,0.1839436620478213,-0.1102945974381213,0.11445613931385751,0.26481791843217317
sex_1,0.05139768801858253,0.06411490493812698,-0.11592971245065857,-0.011746822015378846,-0.16570060463906144
assessment_centre_11026,0.026553229944099418,0.04950092839324445,-0.011065506360978219,0.12633227095695063,0.18856444681196816
assessment_centre_11027,0.007580970297827259,-0.01132889015433029,0.018686467029822587,-0.014238103355090095,0.027898041206109118
