,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
age,0.6723314475445519,0.3834119141054455,0.3342443793181458,0.2601331042058481,0.19160255780675803,-0.17391881523531275,0.052414238123252736,0.009940973634555572,0.022322853268796846
head_motion,0.23796586022573243,0.08050761022839459,-0.09412239220047386,-0.055198174254340475,-0.024055461198798603,0.04597384106903995,0.06067630862235216,-0.04290672977912251,-0.038120955912805246
IC1-IC2,-0.06480767913873796,0.043568210186175134,-0.024051288164887417,-0.06329569650362865,0.11076765487628364,-0.07932556771426993,-0.00742541202762596,0.08453425146169663,0.0762182673965355
IC1-IC3,0.02203837056471099,0.022943136896220465,-0.1511666095689551,-0.014982921698100175,-0.054396060930595916,-0.05342175368272241,0.05173049993211001,-0.045171212624043375,-0.019376976127680575
IC1-IC4,0.052402135949931095,0.00959457202699353,-0.04774939192604607,-0.04092642726234549,0.11339666479274285,0.052603963993145035,-0.20106706771629343,-0.0323296452519758,-0.03998759529004453
IC1-IC5,0.0442466698613896,0.02078026862567182,-0.039317982383454006,-0.19152788720759692,0.022845066074466215,0.05591401830416058,0.02509406020709485,-0.09589040951605132,0.01094908531980621
IC1-IC6,0.007420126897302988,-0.08307625417215773,0.05713130039426449,0.020142832397828908,-0.037880993407267534,0.09899654389711851,0.06398526328461507,0.14001187216741148,-0.16443903702649407
IC1-IC7,0.046902126809675246,-0.03502983984892748,-0.04648661686342821,-0.020024359249399402,0.03408977330182291,0.006415822067108175,-0.010909161301689714,0.0070353245439476785,0.09128537782645275
IC1-IC8,-0.0322835781253252,0.05500302728219495,0.007466281446518982,0.09039254709895855,0.002596460144136911,0.11603954397070658,-0.0010550357794959842,-0.05343695581771916,-0.043643700992798413
IC1-IC9,0.052584216881370625,0.005779958217392571,-0.051746918501185596,0.021917346722666316,0.13594831890539794,0.05618771836426722,-0.10166135419794868,-0.0720533063890336,0.03024207411554678
IC1-IC10,0.043969739104890555,0.03431302672008786,-0.059282957786367295,0.12314248016255475,0.07754381968075802,0.020486962429222606,-0.03089912139865469,-0.0681235345426729,-0.11478321872447948
