,Component_1,Component_2,Component_3,Component_4,Component_5
age,0.2250028896580149,-0.05575629038833689,-0.055052307510107076,0.05264254358996916,-0.052523859787341476
head_motion,0.2170249323801797,-0.06109498221877587,0.05151974434242547,0.013058416338452299,-0.0533566715964836
IC1-IC2,-0.015534468086201163,-0.029323710928908134,0.06699228729719535,0.03837603569340169,-0.02202346629028401
IC1-IC3,-0.05283016729662369,-0.006230644717021648,0.13930271878905479,-0.0967763964355733,-0.06295243629824432
IC1-IC4,-0.008329249798825574,0.060009585937676295,0.1119109009420484,0.12543994186821378,0.014890156085287305
IC1-IC5,0.03439725221029267,0.029342388787196323,0.05819585612545353,0.06475406647956282,-0.10182750235018086
IC1-IC6,0.006756886380237118,0.08765153328912033,-0.028993853627748135,-0.019937027408662097,0.0334320622141699
IC1-IC7,0.02434548849006026,0.052189568490272016,0.06324100499469534,-0.051166327928401534,-0.0608207304878536
IC1-IC8,0.06667081689925329,-0.08524434620673674,0.03558576396570481,-0.10160936292409412,0.010411267377648492
IC1-IC9,0.027898300230421266,0.020896085635067733,0.06327006982664123,0.1603221496493062,-0.06447087201806921
IC1-IC10,0.03574583019333801,-0.05163421806309739,0.014824174279699004,0.14277133182388244,0.004404906900528068
IC1-IC11,0.05317288847867683,0.02228484006048626,0.04226251213574463,0.04790042226857092,-0.040427475563805305
IC1-IC12,-0.0034727898452316733,-0.019416523369221388,0.054913747266087214,-0.0032531933478047188,-0.08777163534622474
IC1-IC13,0.07898435012629594,0.004148600878864798,0.051546262895146994,0.10545286484333011,-0.01613308586572819
IC1-IC14,0.1204024282277039,-0.04338105951972978,-0.049444909726343855,0.0014690533198940176,-0.0762883891773416
IC1-IC15,0.04507378314097821,0.03081242689656454,0.08476638599452005,-0.02466384199567419,-0.07318758854413747
IC1-IC16,0.15820658932254134,-0.028835310254365375,0.051494387486525676,-0.10150019822987057,0.00010764101718515862
IC1-IC17,0.09867103867676143,0.017532932154354315,-0.0031316229442241617,-0.08806954303866969,-0.0767067710914133
IC1-IC18,-0.04410460357662048,0.048738515482042624,0.06419500592109385,0.06491894368761987,-0.108699623671116
IC1-IC19,-0.05442383157084321,0.0718561224551441,0.048369489426942205,-0.044832939961903545,-0.16700054067087314
IC1-IC20,-0.021501863044402936,0.02512965579675559,0.11135547624894689,-0.009488293914165518,-0.024088789610349493
IC1-IC21,0.026410620758040487,0.00537255640608052,0.05553797344369805,-0.12343531134776084,-0.053893568333921074
IC2-IC3,-0.14368118964242643,0.0366753265784172,0.05628009598309648,0.07077874837270028,-0.06615695185025433
IC2-IC4,0.045269318451019475,0.048313412751021564,0.07919952458927472,-0.005720365602202849,-0.021948791883918184
IC2-IC5,0.009007828970330008,0.026274737358598515,0.09397279043274638,-0.047820446379830114,-0.00879710343841032
IC2-IC6,0.04536139874889933,-0.025895118133638314,0.052444800648158076,0.018585305897995664,-0.052110706044033665
IC2-IC7,-0.00158811039629702,-0.0666388830821206,0.00435510792993763,0.03360849054302615,0.18855425408856946
IC2-IC8,0.07366672471189559,0.012775191522172255,0.00605411445301487,0.02516478418791524,-0.16411774876976393
