,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
age,0.3858194183097577,0.2446934657089297,0.11419093334181328,0.04052376599721911,0.05476972040168825,0.004863326259932075,0.015525533445612598,0.048714119621504445,0.021081368260796002
head_motion,0.28544957789362413,0.10204010007785495,-0.045330283938842204,-0.038799343842370375,-0.01093746444838308,-0.09403342013753795,0.04249000568475323,0.0008213287245888346,0.006254867442695249
IC1-IC2,-0.024433747108992293,0.08832287591869341,-0.07724685162369012,-0.03221698149779426,0.04897846013404311,0.011884545861589893,-0.03200492179920716,0.09463866205468971,0.09859431487330156
IC1-IC3,0.02046151151954853,-0.093569235566647,-0.11214819030303817,0.029915846330530523,0.0011853460876365628,0.030346009284955313,0.018971088524139743,0.028508962069581284,-0.0034464269766971214
IC1-IC4,0.011420893780639782,0.009675677569977694,-0.0504313031268863,-0.0339169390017254,0.1404578284131707,0.002371469612328619,-0.016801141698327752,0.05914780940660844,-0.10784260151230388
IC1-IC5,0.028288505087854538,0.09212045978242005,-0.08815207456176104,-0.16025965126764125,-0.0020044859394311903,-0.07012824571678557,0.01143926914648961,-0.08893552190852665,0.022408700232218838
IC1-IC6,0.0007865883152168946,-0.014236106405041336,0.1270128914832472,0.006936991819585376,-0.028942321705877835,-0.08665618534207135,0.09026176191903995,0.08051771212679527,-0.005468735089299551
IC1-IC7,0.03369039301435153,-0.0369001768986203,-0.023110990235077445,-0.04383588104967872,0.06070630723874598,-0.012431000384214528,-0.04342607206019485,-0.04084430174495038,0.0012479546091944678
IC1-IC8,0.010716826550506745,0.01571566807505964,-0.020718227277147422,0.0696213677736073,-0.04327559551652789,-0.07277409303597034,0.05592490528664983,-0.09929404425164706,-0.0830627233846896
IC1-IC9,0.036060035452668365,-0.02089843060544796,-0.06954013946063096,-0.029301735055717745,0.14762563465088707,-0.027446085078926128,-0.13944467462587562,0.02613238693955663,-0.03554209305005289
IC1-IC10,0.03500252685289118,-0.06361114010572376,-0.03232984132147806,0.10381094151075618,0.11063293193272869,-0.0051034969452731635,-0.02756891928234207,0.01726187070784597,-0.09798330865273165
IC1-IC11,-0.027132543092512652,0.1440662693698629,-0.019959369674150917,-0.11659968824077062,0.050270509958949154,-0.056836029153754,0.02628386907630734,0.0005098990788680118,0.0032853450634281103
IC1-IC12,0.01689678925742466,-0.022362461431701397,0.000497809502127199,0.09409985534460681,0.033939023481310095,-0.09955062816043592,0.005409214924614137,-0.03274863613449056,0.005665703402968852
IC1-IC13,0.06184286443245843,-0.03801258437883145,-0.041478283632182415,0.0012836169840278297,0.1203980640680546,-0.0371111652580361,-0.058897601915283496,-0.010048430588320431,0.053177519382163675
