,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
age,0.6072660869810734,0.3554951116304573,0.30777012847585306,0.2537917281140924,0.1744738153856631,0.16270983661179514,-0.10696988755102738,0.046855571770664795,0.04218122991647898
head_motion,0.21668318698767208,0.09624136640480689,-0.11910930195058646,-0.04091997586383578,-0.032750978086944674,-0.046708350560653464,-0.09351922980957467,-0.04552209910609465,-0.034518569618089905
IC1-IC2,-0.049049595251550726,0.04381259470562985,-0.015940060772163027,-0.046394831914495414,0.12217440041740264,0.05158651326462516,-0.011225580802454277,0.046153990117039904,0.07824674208899164
IC1-IC3,-0.011442810828828576,0.026503452648456518,-0.17540373816697924,-0.03381028978384131,-0.07693148933302357,0.027906751071359957,-0.044782075756936796,-0.111687697430871,-0.004227045179100012
IC1-IC4,0.07771604652493873,0.023531999851212265,-0.07205294696521965,-0.02882793698563595,0.11177032159510075,-0.035251019369738706,0.21559461281297904,-0.031066722193053762,-0.05077588948226744
IC1-IC5,0.045825555946896745,0.011301102186722473,-0.05936511887381845,-0.1607561574676603,0.05633221024759052,-0.05505300986949729,-0.054003497080841484,-0.07060481193495916,0.030724041492007092
IC1-IC6,0.008752890950047568,-0.08383173620392982,0.07690186674097649,0.05782633424451665,-0.003381401429250451,-0.028468591862511248,-0.10188364090463398,0.06591093744618684,-0.11681320917065645
IC1-IC7,0.03776522438058245,-0.03146907582092703,-0.053964444333377604,-0.006516027419174902,0.015444479813996822,-0.02425172040155847,-0.06975927257634648,0.046794925024706675,0.0013756124063838294
IC1-IC8,-0.04151498814788615,0.04997093669425697,0.003985297128356652,0.058294583622261795,-0.01712818247216966,-0.08066752803592357,0.032819365109646795,-0.08522679278819933,-0.04704831936391654
IC1-IC9,0.022395878679816364,-0.004271388724989434,-0.07374548137866233,0.043206591265048735,0.12338252827955465,-0.04322237753142835,0.044641524303141784,-0.022770481320782732,-0.037499883318093924
IC1-IC10,0.05240981972379786,0.06642557072334548,-0.02824794423925199,0.15010947583780052,0.06319446142447309,-0.010075217630614103,0.027544171508451648,-0.03146823906885533,-0.05978808595935917
IC1-IC11,0.027176338270144183,0.01527887522621248,0.03271870845792216,-0.1336517259899421,0.13302439499998042,-0.008599816897022761,-0.10632111857960146,-0.013010371483425208,0.0035017570667451145
IC1-IC12,-0.024632860832545723,0.025924261422229748,-0.009555544566149687,0.09466994207214044,-0.015794578118469474,-0.15964139233213767,0.003319164679622628,0.05489623742114956,0.006962958275198794
IC1-IC13,0.020246403407159337,-0.020412374784843302,-0.08916412599464782,0.05472642422293667,0.06613040375467065,-0.07050342822882043,-0.006325209770825329,0.01093826906532323,0.0860160615221372
IC1-IC14,0.0774766631297388,0.0367529510419823,0.06507458003373301,0.07688326594241736,-0.02004763160533728,-0.15300830585160946,-0.04245986335418801,0.025677133092693986,0.0008158626731590006
IC1-IC15,-0.009039409472259535,0.003635079450817593,0.026067610405969055,-0.12477373365988284,0.14885596873246537,-0.017081867994657513,6.196753173618115e-05,0.03054022674766554,0.010342609355921684
IC1-IC16,0.04312427010127486,0.010637133257109688,-0.032561913261040173,0.01373514355197428,0.014354857250957571,-0.06676090034200353,0.0309674453396812,-0.11534694165080434,-0.042189850691311585
IC1-IC17,0.06054011851459919,-0.022119303702904873,-0.009596221685889798,-0.11296396164675436,-0.024990334235088604,-0.01102352786287654,-0.06182712733581825,0.07452304607524943,0.06081749088694742
IC1-IC18,-0.023505018547577427,-0.04729839547369271,-0.07747118916367209,0.16480242891714414,0.04150635966319583,-0.06716057280027418,0.03290920152505922,-0.05012466056006493,-0.054124958826732836
IC1-IC19,-0.03732855679927713,-0.06369960374332709,-0.018867180531614108,0.023919295874453298,-0.011928174982643206,-0.12170938514426115,-0.06604004511624091,0.06938660695669273,-0.04753651341952985
IC1-IC20,-0.024931968980439357,0.026363899723091437,-0.021988768909318734,-0.09462354578612155,0.07570126702096187,-0.05307150710472617,0.012111070080743849,0.017446418396241944,-0.021766844698269658
IC1-IC21,-0.005787787155402335,-0.001913189489413448,-0.000988458253442491,0.01806459542445792,-0.02366588377836534,-0.08787454199728739,-0.03851402403946863,0.03820545084867358,-0.01592056475141206
IC2-IC3,-0.06495934689658535,-0.008822292642981356,-0.027101873677876528,0.0887498145589444,0.025176206212943884,-0.0428081874901405,0.0009525088577974417,0.056416328454240286,-0.07049414133696855
IC2-IC4,0.045693356512578484,-0.013772540250724427,-0.058252936492236014,-0.10614072513775724,0.10140035411578784,0.08177644690979205,-0.049246266894413186,-0.04400955390561279,-0.005177935707350787
IC2-IC5,0.027507680946455983,-0.006886714739185422,-0.13092411594620734,-0.02261894455390582,-0.10194506444503554,-0.07413061355522443,-0.2095911640278216,-0.1501038759557293,-0.06759291924084021
IC2-IC6,-0.057414908311166774,0.005794618117263051,-0.012421054806732742,-0.10236626536838409,0.11350011188310646,-0.028225117745495163,-0.028394547765972104,-0.00389846981884305,-0.020927838543151382
IC2-IC7,0.012424509434502394,0.05129211821622613,-0.050199772770847265,0.1406751940084241,-0.07171010296767963,0.08468915258472112,-0.06040945725664996,-0.10789520745353481,-0.164541994101136
IC2-IC8,0.03500846511417945,-0.009586859734588643,0.014596944262948571,-0.04891734576927311,0.05881319064748231,-0.12386061009644816,-0.04186129722954885,0.06582000040610515,-0.06000280333613381
IC2-IC9,0.04817117646413818,-0.007642088412672005,0.051200188328162595,-0.03320411028551263,0.043263766080992055,-0.1020149389835196,-0.003166012004282232,0.06461176993796276,-0.11227923273068931
IC2-IC10,-0.028371362948342114,0.009676801945534101,0.028663589222931794,-0.00414777927898726,0.10004031796755838,-0.05223682169374492,-0.10173965579931242,0.040781787663405504,-0.06317693864383435
IC2-IC11,0.057344355833501545,-0.05084635181574988,0.016111888451631143,-0.0395918597442026,-0.045416550860456914,-0.019308826219993417,0.026315886016048434,0.0839180116831461,0.007944672732270121
IC2-IC12,0.018065546774000584,0.0012220059028188056,0.047826239207781215,-0.14456193558896285,0.1537094710631469,0.04402199643799376,-0.11998449588909495,-0.05402786518850172,-0.0983773791871921
IC2-IC13,-0.041928802026491956,0.01488553479530311,-0.07251192934381896,-0.02288913764545037,0.07761348263062647,-0.010652632230024942,0.0570612001885009,0.0006134266859907743,-0.05760010876739825
IC2-IC14,0.08271946240127803,-0.04295044761891291,-0.03711967932563619,-0.08672101932189787,0.08630001174688166,-0.10407440440476853,-0.004445151736674817,0.029196950177525882,-0.060614635477845465
IC2-IC15,0.05270061044749189,0.0025936651783466133,-0.11099786163430397,0.053103960982988134,0.00831046932979996,-0.0481003233104957,0.005880773676586311,0.1553218838560985,0.027411044811893097
IC2-IC16,-0.03150210091013263,-0.037624887346178706,0.03224943825733882,0.020866678788956823,-0.0031054409981157555,0.0312984528357811,-0.2023198983166942,0.06632055402280904,0.05979150440336491
IC2-IC17,-0.07059401210532683,-0.0138439005120749,-0.13198666448190088,0.0811693991725195,0.11396343045933607,-0.04129204150066068,0.03579719134134578,0.07633195953844901,-0.020814945342722276
IC2-IC18,0.04284172818772059,-0.0629356945214315,0.011735252831440833,0.03731554826896454,0.09040913674356386,-0.056382115654334895,0.0487026453948418,-0.0051955944754331915,-0.06148544937317942
IC2-IC19,0.009796150488356178,0.013976901536612065,-0.09051477886228436,-0.005783930268340701,0.013078059379055236,0.12929758341778383,0.012981988500066002,-0.0023362831232554486,0.13141133442171649
