,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
age,0.14738125274476638,0.2957400368313891,0.30161798302130327,0.21185829667464,0.33605594461087174,0.3139320059042571,0.1857331475522124,0.16247178802078693,0.17360840186652532,0.13099934191863877
lh_bankssts-lh_caudalanteriorcingulate,-0.010581317983886514,0.038747172443717316,-0.01915981088225263,-0.02498783875394378,0.023945736358244984,0.02021995813629094,-0.006854072129541193,0.009378011218073483,-0.015156376372317246,0.01416334253830764
lh_bankssts-lh_caudalmiddlefrontal,-0.0046809311510606485,0.014593542011199669,0.009935508049599138,-0.016735413797584253,-0.01024878813375862,0.008091111655610257,-0.016019104852598044,-0.023623218194074893,-0.017667822290361797,0.0012291589307041233
lh_bankssts-lh_cuneus,0.016816826456358243,-0.02048932506915802,0.02075222430313996,-0.016588085962725825,0.007664378307884614,0.02284758447043122,-0.014588799414267226,-0.01000015534803898,0.012366976539103552,0.011141710950913493
lh_bankssts-lh_entorhinal,-0.01454124985491963,-0.009810752699530988,0.004362378430875307,-0.017983464287219156,0.009038620597175693,0.022279025184857963,-0.012400289311937885,-0.0144688031028373,0.012491356065464978,0.014775089897698788
lh_bankssts-lh_fusiform,-0.02043753973335136,-0.007034795282884242,0.014320205916070831,-0.01697482636400856,-0.00807243302317868,0.020689662079379455,-0.018518419283364753,-0.02346641375998849,0.007970929518586028,0.008811499188434449
lh_bankssts-lh_inferiorparietal,-0.01017802585628638,0.004261312325257356,0.011665796987859207,-0.018234458342958372,-0.00786749905678573,0.019171798651623252,-0.019865845399257412,-0.01407828191201444,0.017935522987192892,0.01955961199503509
lh_bankssts-lh_inferiortemporal,-0.021488462842266978,-0.013728691084986025,0.013775752786925914,-0.017159671044894912,-0.004296405070435868,0.022786220427894643,-0.022998487126252343,-0.031385589968121484,-0.005433822327070542,0.0018479722857066764
lh_bankssts-lh_isthmuscingulate,-0.00321664046390006,-0.015120333918409815,0.010584057299303468,-0.00860750838973732,0.023148165093712234,-0.011476273474191395,-0.0006512384424922827,0.0052945602879931695,0.006439858369572012,-0.0031689555369097087
lh_bankssts-lh_lateraloccipital,0.004393035381156728,-0.00547999128746738,0.018390081950283552,-0.015512852940656999,-0.00047366838690820286,0.02207688523437739,-0.021024244924504693,-0.01945242696769309,0.01005116987565953,0.014923123412530296
lh_bankssts-lh_lateralorbitofrontal,-0.01516403273935317,0.007118080063824119,0.02054971781107463,-0.013211007849312235,-0.005595533669682469,0.02902808393528071,-0.020004548488203253,-0.030744921022731686,-2.3588360870896664e-05,0.009345243662278681
lh_bankssts-lh_lingual,0.0064805776115248554,-0.02935209120333315,0.017700791173141602,-0.01709577792236864,0.01623998742770076,0.01588427682141831,-0.009108638195089124,0.005659877131705554,0.026872709060075592,0.00342396854886405
lh_bankssts-lh_medialorbitofrontal,-0.011096434522150166,0.0012562737721922887,0.006778640583923165,-0.02498990935255425,-0.006743810548380317,0.02147262902549264,-0.02079541379290309,-0.016062064402799333,0.020012120838396482,-0.004608691755070495
lh_bankssts-lh_middletemporal,-0.011333637074749539,-0.0021436804347347775,0.0038143737171512904,-0.024456435697282206,-0.02306754223380077,0.005287972037126324,-0.03097260345494727,-0.02708894376974346,0.006016543246603728,0.007467925438946459
lh_bankssts-lh_parahippocampal,-0.022612139672606533,-0.010712181310667796,-0.0030501408205073745,-0.02115692610874633,-0.009722342838810981,0.009266165728459352,-0.002844221553346494,-0.014692274385021513,-0.013734191778507012,0.01073387622621599
lh_bankssts-lh_paracentral,-0.016563782562229405,0.009194281967280069,0.01651281840169091,-0.013966965342714943,0.0001451316855241086,0.010842646670556899,-0.018792944169386778,-0.0020823528644037356,0.019325823150463984,0.0017408396460419165
lh_bankssts-lh_parsopercularis,-0.0031424632619321585,0.019018369969557664,0.018171166011763544,-0.011837135687442461,-0.009362746590056158,0.006516186105747213,-0.026968210449031412,-0.029434680831665908,-0.01135638187423174,0.01299306766210363
lh_bankssts-lh_parsorbitalis,-0.010510426127784401,0.0030907009132872983,0.016479662524881644,-0.016669370213884482,-0.0014195416658863986,0.027051625630490343,-0.023696272183298537,-0.023147320846167045,0.019493969068874267,0.017357620194421566
lh_bankssts-lh_parstriangularis,-0.012423397749336772,0.0095910559456613,0.01995578354470884,-0.012454906957009858,0.0014084391573389228,0.012967665528818955,-0.025487035008740465,-0.02026699751153264,0.010177041356154609,0.018784310633341274
lh_bankssts-lh_pericalcarine,0.019249604930822044,-0.044149554711484525,0.005593790345472754,-0.018091824862733686,0.016235054465984933,0.014174013457833857,-0.027012261000450732,-0.0036764538308010223,0.026385798566328403,0.003757081832589466
lh_bankssts-lh_postcentral,-0.0036279772452455436,0.00387499875688414,0.013316615362143019,-0.024844575768795507,-0.026563243361563117,0.01599046276425452,-0.0025132842949315867,-0.007343677619447039,-0.0013694897783672153,-0.016590431657009432
lh_bankssts-lh_posteriorcingulate,-0.010740140487428341,0.012746202978862418,-0.024211758375421548,-0.02552119957755043,0.02861523957441503,0.0024529532660589526,-0.013979596973369916,0.001495643699213026,0.012079542036055244,-0.021503379530916383
lh_bankssts-lh_precentral,-0.010155525942473287,0.011495702325964632,0.014190831380660816,-0.01426468870169134,-0.0037500884056317282,0.01682156866452628,-0.01763460567716923,-0.019490735371586704,0.0007373576897786512,0.00019546952927730174
lh_bankssts-lh_precuneus,-0.01952188060717097,-0.012151567487474268,0.004495186461764646,-0.024017185092877372,-0.01762508896918341,0.008407815034051266,-0.03142657115688529,-0.02956468877475766,-0.0032465019681096516,0.0029492844428562343
lh_bankssts-lh_rostralanteriorcingulate,-0.02822640295216634,0.0019455103553686673,0.017053630037528956,-0.014033320148065166,0.013026951880148336,0.02483137133136838,-0.008538712415659512,-0.008408890762357799,0.031638147348015525,0.019757560914051217
lh_bankssts-lh_rostralmiddlefrontal,-0.010456934168536124,-0.002384053621111826,0.011751997058814068,-0.01656384268076562,-0.0036885721346905055,0.0224700075041128,-0.025266039284742473,-0.020549919732019757,0.015295682383330919,0.004363834451758002
lh_bankssts-lh_superiorfrontal,0.002635460428148494,0.022241176539956234,0.013529353908367684,-0.022691444103738634,-0.014692868326254074,0.016665324157565154,-0.02767322129869739,-0.031066307918474978,0.00562512486282678,0.013686348964480328
lh_bankssts-lh_superiorparietal,-0.004594970725793527,0.004914253317590754,0.022339108233786355,-0.014055330688406373,-0.01201582543432725,0.010445142132405308,-0.0187331250903397,-0.016992069026528764,0.002144085780080584,0.02385836697768094
lh_bankssts-lh_superiortemporal,-0.008400510933513716,0.005320145539403306,0.013020542947192206,-0.02160020766940476,-0.013867434568336745,0.017724582764821358,-0.016215429571296285,-0.017109896806674383,0.019931080384759166,0.008920481724257082
lh_bankssts-lh_supramarginal,-0.00990796462014748,0.01110922471126517,0.02238688268719083,-0.011084734599910063,0.008820774238608851,0.03302044894323681,-0.015599584013334025,-0.014056806991574635,0.01884902257033208,0.021392377306330434
lh_bankssts-lh_frontalpole,-0.007387562288485514,0.0007050209527075808,0.01328241260610296,-0.02273981789758065,-0.014429278691452689,0.02710727939950755,-0.017270295214090976,-0.021777985249180145,0.019145464285065236,0.011938015630637065
lh_bankssts-lh_temporalpole,-0.007503328482421492,-0.006155478178958678,0.0006914279572442885,-0.031690573244081796,-0.0011623856157802017,0.018763693874196578,-0.01829266687887026,-0.045399373347650665,0.007655111862667571,0.020349458751752814
lh_bankssts-lh_transversetemporal,0.0003601312541082813,0.0196387857781365,0.005225763821530869,-0.01165651221651493,-0.011570733790682181,-0.01599021087832594,-0.0169754893219611,-0.004565011035558118,-0.0049886281662828245,-0.0074117701391454875
lh_bankssts-lh_insula,-0.006624285355510483,0.003733945492954024,0.011462826099251757,0.003154955266095403,-0.0018980828217023142,-0.018163607263763197,0.021141340251351823,0.004016235838758039,-0.015817387536489022,0.004241491625531731
lh_bankssts-rh_bankssts,-3.964299742731099e-05,0.02171759777075006,0.010033196650521822,0.0010168298463251264,0.0012620009540658032,0.00890094973886242,-0.0002666988871175652,0.00926559045902399,-0.011438828511908724,-0.014984569215128805
lh_bankssts-rh_caudalanteriorcingulate,-0.0022545201762805924,0.03514714039420461,-0.02557818731004098,-0.029941929834587922,0.028948138050254136,0.00787505280564754,0.02097083826859264,-0.02776337202080751,-0.010253069471456197,0.0017234377753202238
lh_bankssts-rh_caudalmiddlefrontal,-0.007129208643439975,0.018538521723470855,0.017653552703881064,-0.010214837609383808,-0.0012310393007611245,0.017089336725397856,-0.013824683922814203,-0.011991704994172568,-0.009895809311640153,0.005730624182795815
