,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
age,-0.04654568992182666,0.056024106051666675,-0.03266463189674552,0.07216713242813586,0.052433642962583314,0.043699527362863075
lh_bankssts-lh_caudalanteriorcingulate,0.017710603465653972,0.01201391944443256,-0.023578771248788506,-0.01679269442060024,0.014647986393185174,0.0006967226223768562
lh_bankssts-lh_caudalmiddlefrontal,0.02609249815492279,-0.003987337814296207,0.003419289914168606,0.0113302376381642,0.0007386647799051543,0.0058197170103159055
lh_bankssts-lh_cuneus,0.012656021022384872,0.012379125089544576,0.029562459491423818,0.02852337250116102,0.005418260180798896,0.021654650060504106
lh_bankssts-lh_entorhinal,0.029561484153903757,-0.00628151172705113,0.007690839044665212,0.016304366371973786,0.020774729942574562,0.005999616003686505
lh_bankssts-lh_fusiform,0.03568794574944683,-0.008535142661747963,0.002741833490776787,0.02413149217113213,0.008910059587329785,0.016367323170918224
lh_bankssts-lh_inferiorparietal,0.029211646296241116,-0.003183892166985962,0.0036280265038461748,0.014260587420993702,-0.010225001225436813,0.011729741692466392
lh_bankssts-lh_inferiortemporal,0.03591919347207708,-0.008554975327168797,0.004019546463762222,0.029133737093712347,0.02504711170159949,0.050076732009458204
lh_bankssts-lh_isthmuscingulate,0.00865691364873197,0.014146531974535971,0.007868399444229462,-0.005156371308362499,0.006435195831872757,0.020645171425185693
lh_bankssts-lh_lateraloccipital,0.019911183005942787,0.00547058882851122,0.014231114016228027,0.02236123042707296,-0.0074541085790854646,0.019982238489111615
lh_bankssts-lh_lateralorbitofrontal,0.0379439296404326,-0.013429931501750546,0.006325174241978653,0.02292571023757529,0.008995959151784806,0.03009341862552178
lh_bankssts-lh_lingual,0.012643729551297908,0.01800010269092501,0.019811660270073538,0.0265861572266013,-0.0005150148360040578,0.013271276603813324
lh_bankssts-lh_medialorbitofrontal,0.03168923955364946,0.0010087419090807537,-0.0017465528949592204,0.02504455724588712,0.002035288212862602,0.019354486684433674
lh_bankssts-lh_middletemporal,0.02897545083803352,-0.0036574526624784925,0.00249756083261416,0.021665119436807965,0.0012021146510379623,0.016344095434949947
lh_bankssts-lh_parahippocampal,0.025833138587290427,-0.0020551597544632297,-0.004283050642292565,0.006281584248907209,-0.005161259725277356,-0.021801346099599755
lh_bankssts-lh_paracentral,0.03201936128084854,-0.0027868813431206818,-0.0024709863693003695,0.007693685685036835,-0.010618405388438548,-0.0033836695338558104
lh_bankssts-lh_parsopercularis,0.027208212523530496,-0.00609811604213662,0.006226946641846755,0.009201407985173321,-0.008465054747160722,-0.005240105507790297
lh_bankssts-lh_parsorbitalis,0.03076217060692586,-0.0010378033388883825,-0.00023891002759992492,0.02251668234999254,-0.01129827929888395,0.0033128263634333434
lh_bankssts-lh_parstriangularis,0.03203224309186432,-0.004014590322544814,0.0003163647912700262,0.018094769183172318,0.0005426656343412293,0.0008896888156676866
lh_bankssts-lh_pericalcarine,-0.0012738304970210997,0.021120013745088616,0.028530282334402943,0.02551686798829428,-0.010636863446670164,0.016225600352547918
lh_bankssts-lh_postcentral,0.021958949465304845,0.01120632949558932,-0.0002880155605308436,0.01750728333374265,-0.011633955741754251,0.038816243490423966
lh_bankssts-lh_posteriorcingulate,0.010855506689540297,0.019435585674189317,-0.024491026510301928,-0.006032974776422099,0.03094363638447644,0.03042344571027754
lh_bankssts-lh_precentral,0.029320998476202682,-0.003950927960698067,-0.002562152503440135,0.020091546816878372,0.005695843171397175,0.013427729469117272
lh_bankssts-lh_precuneus,0.03415664719049697,-0.008618709489867687,0.009673666976934732,0.009135275979777133,-0.012273351572008998,0.013428580488089542
lh_bankssts-lh_rostralanteriorcingulate,0.03895466078411928,-0.002214448498512506,-0.016912920669479956,0.03678386491311379,0.036227495728592234,0.013332019061968299
lh_bankssts-lh_rostralmiddlefrontal,0.028075577989172,-0.0034902031284326116,0.00462219963959456,0.018717818357204673,-0.005017198715056873,0.021925836161492632
lh_bankssts-lh_superiorfrontal,0.03373254142997193,-0.007739492786394585,0.010891535169932519,0.02412114307184522,0.007570146352903998,0.009178138894781602
lh_bankssts-lh_superiorparietal,0.01748762685763485,0.012726231205972105,0.0004912309687912193,0.001770217797904639,-0.03856278883517937,0.007623571147753735
lh_bankssts-lh_superiortemporal,0.030470502776148076,-0.0010654682210323885,0.004595809705802541,0.013200771250378461,-0.01121494971236214,0.011229499537777113
lh_bankssts-lh_supramarginal,0.03546601551781683,-0.010285302833242776,0.00950715898075843,0.015444749052519567,-0.0001380424985585618,0.01639699237247211
lh_bankssts-lh_frontalpole,0.03604100455236685,-0.008698073033600475,0.010783481307689545,0.027322625338267077,-0.01098642633915352,0.0002667340912478221
lh_bankssts-lh_temporalpole,0.02531792831562547,0.00966368023422511,0.011092153827948743,0.003420391400847408,0.030160682960406016,0.004917885700895713
lh_bankssts-lh_transversetemporal,0.015386855377944927,-0.0008084414045918945,-0.0010733253205069428,0.013009134425016038,0.012751683817396869,-0.026430666517211966
lh_bankssts-lh_insula,0.0015559753725826603,0.006194906408272322,-0.006971840325303614,-0.010052621788176709,0.006229552459438192,-0.02196626120635656
lh_bankssts-rh_bankssts,0.007145110722922645,-0.0010323517402616843,-0.002076516117720143,-0.008581844931013036,-0.012468477445263202,-0.0016015382290418233
lh_bankssts-rh_caudalanteriorcingulate,0.007129339329923879,0.029327312103916096,-0.032185626225861214,-0.0077687862750699405,0.02974424619969237,0.019709891853934583
lh_bankssts-rh_caudalmiddlefrontal,0.025724252004045,-0.0020065364513950274,-0.002298754794149979,0.012788434315149987,-0.0037595690933062975,-0.0001251459850368826
lh_bankssts-rh_cuneus,0.010549677241464283,0.008833728634112994,0.03672128457140808,0.022795987381118748,0.009009709504564258,0.02089537556490651
lh_bankssts-rh_entorhinal,0.030026194518932785,-0.005581951642879872,0.008568920159220152,0.021451233546764807,0.029945123731811567,0.009474071532370312
lh_bankssts-rh_fusiform,0.03342781607028177,-0.004289023141835993,-0.0015495254524580848,0.023399365790286702,0.004194704968988544,0.00946796774204742
lh_bankssts-rh_inferiorparietal,0.03336613656810664,-0.009536446266421635,0.0076886823097992284,0.011436977382854464,-0.010069621398743567,0.009426129149410836
lh_bankssts-rh_inferiortemporal,0.03676418010594755,-0.008099726594649253,0.005688477484182235,0.02309711186658674,0.012425610578359452,0.036129348702543494
lh_bankssts-rh_isthmuscingulate,0.011428682394352241,0.007873767518613689,0.012887644494218262,-0.0028095677148597055,0.011222288967921368,0.023648688999517067
lh_bankssts-rh_lateraloccipital,0.020625347401466414,0.005072268332355444,0.014654524003459755,0.02377662962009974,-0.005544428738116411,0.014628041835787302
lh_bankssts-rh_lateralorbitofrontal,0.035949365159911546,-0.00708752292900215,-0.0011933495921284197,0.02957423596066204,0.006663502347064744,0.02666849664363356
lh_bankssts-rh_lingual,0.007783153613748454,0.020209618847250675,0.020921173186006056,0.02483949522766784,0.0017764826476308006,-0.0003674933821855795
