,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
age,0.11012932249179708,0.1411008242677667,0.14012103788788985,0.17989968211446733,0.1591102797760188,0.11317023543773147,0.08614910923670516
lh_bankssts-lh_caudalanteriorcingulate,-0.010789592592271847,-0.0035575943738336098,0.027123188319137556,-0.01852625532361517,0.015906717568464852,-0.011069311955808745,-0.015711565610192737
lh_bankssts-lh_caudalmiddlefrontal,0.001991957820272742,-0.00995554746861597,0.015276284376323297,-0.00957365016275973,-0.004421908976202198,-0.0007236807009443252,-0.021512751582388336
lh_bankssts-lh_cuneus,0.022038883814201115,-0.03083384546942483,-0.011062081557555972,0.012813397475191194,0.01734662326976038,0.015507947668347236,-0.018431145743240205
lh_bankssts-lh_entorhinal,0.0002818849333573244,-0.018197866082150696,0.00772602170615239,-0.02019638611157567,0.013654872332124713,0.009137365123628905,-0.025443147135735054
lh_bankssts-lh_fusiform,-0.0020550391502213035,-0.01569338038494298,0.018484261390472413,-0.007473436240648179,0.0059464807180942296,0.013437119353715004,-0.03134098073987405
lh_bankssts-lh_inferiorparietal,0.0015463431439741938,-0.014678151693088334,0.013840928394621045,-0.012084765726970773,0.009974814181048716,0.013937534024504332,-0.028054893287820133
lh_bankssts-lh_inferiortemporal,-0.0024116203518169802,-0.018680147963383964,0.01687570367246043,-0.0016606936467684498,0.012126152571133987,0.012492129839319048,-0.038839617003571955
lh_bankssts-lh_isthmuscingulate,0.005287006322603218,-0.02119216780832127,-0.0017883229837066857,0.0012149827189532605,0.03762919284112035,-0.007120600368570379,-0.009018633006384048
lh_bankssts-lh_lateraloccipital,0.012564632598688933,-0.02197642449989905,-0.0013604801675488694,-0.010171507212083495,0.005225664161288524,0.011387715415463392,-0.025756661162930013
lh_bankssts-lh_lateralorbitofrontal,-0.0018251480536570584,-0.014099187072716273,0.01917286900301189,-0.007042883880104702,0.010229368965822263,0.029685642522094744,-0.018289894084414452
lh_bankssts-lh_lingual,0.015547258866592148,-0.036065933811894144,-0.012122187476684768,0.006444500037944069,0.025526397299594293,0.013024936537612943,-0.017485015355813923
lh_bankssts-lh_medialorbitofrontal,0.009683412948433008,-0.006691818361810287,0.025434570723064973,-0.0136109825968076,0.014455017988012532,0.01896305670176079,-0.026364866941553138
lh_bankssts-lh_middletemporal,0.0005440596854235601,-0.01726520881867664,0.009218891511089948,-0.016854590657079442,0.005465660658433681,0.008300157463760687,-0.03716539628294298
lh_bankssts-lh_parahippocampal,-0.005839925688189076,-0.011014773371216733,0.02007047253816785,-0.0011011960758877358,0.008891437510497903,0.009750714754720502,-0.010939528497223051
lh_bankssts-lh_paracentral,-0.009103016758987201,-0.021481965385771084,0.014654046525524834,-0.005388548132026839,-0.0015355861095970973,-0.020446926216486996,-0.04549338772341151
lh_bankssts-lh_parsopercularis,0.005499505669502263,-0.0037698930566228,0.02241775025949368,0.0007816195061714136,0.011034359552726873,0.010478922422748883,-0.025067320818834896
lh_bankssts-lh_parsorbitalis,0.009609888420218687,-0.004471632539492875,0.02713205776647132,-0.005651695525305887,0.007814258001231303,0.015032657038364377,-0.027221046462228143
lh_bankssts-lh_parstriangularis,-0.0013687713526579217,-0.014767585450787022,0.01882142487564662,-0.002483267128590651,0.02041332960120081,0.013000960873728398,-0.0267836981513873
lh_bankssts-lh_pericalcarine,0.027216675434359128,-0.03177824698438341,-0.02616408548498766,-0.001013917229316169,0.012866488966005868,0.011262423787141545,-0.01437015104049629
lh_bankssts-lh_postcentral,-0.00016262543585415668,-0.028927880265051296,0.002411814927144701,-0.004374121171276134,0.006874588376862685,0.011885908310653514,-0.026568711253338206
lh_bankssts-lh_posteriorcingulate,-0.0007409666601361967,-0.004041990514602436,0.01417427670854416,-0.04169042692323117,0.0320057078704604,-0.006527088760773603,-0.008688428483405558
lh_bankssts-lh_precentral,-0.004664025785181688,-0.018490661920242776,0.010691713873916814,-0.007845680087027322,0.01970324441252016,0.018524562711615844,-0.015885176247140233
lh_bankssts-lh_precuneus,-0.004239934252384651,-0.021179375328504224,0.01259394209717044,-0.005380321101305309,0.009231591257610555,0.01257053482083014,-0.03322523950952584
lh_bankssts-lh_rostralanteriorcingulate,-0.010883707942320697,-0.016007640446772338,0.033511931767646636,0.019335168633684386,0.03584417724833813,0.02201057420639384,-0.02046205824081058
lh_bankssts-lh_rostralmiddlefrontal,0.0040204703866269795,-0.013485319965772409,0.012437051907790294,-0.01294025544430263,0.01518799387386883,0.01327298576594457,-0.03896042414979532
lh_bankssts-lh_superiorfrontal,0.015943095442197137,-0.00027991151544842893,0.02826441246959919,-0.006020615138717809,0.015941425991564413,0.011212000142688453,-0.03957716328178619
lh_bankssts-lh_superiorparietal,0.004267708189466823,-0.016412799173373294,0.014413380714625527,0.006643994394490314,0.005634364129770175,0.018183415786393615,-0.016518648249039834
lh_bankssts-lh_superiortemporal,0.00434862108755738,-0.017529369284835058,0.009408228741633738,-0.029840502433701822,-0.006078608650869182,0.002862947854778122,-0.0408430559678672
lh_bankssts-lh_supramarginal,0.0026121021676652947,-0.013202926003447938,0.017363433986875156,-0.014726840978628478,0.005597608809051219,0.006727670252413454,-0.035975694369000846
lh_bankssts-lh_frontalpole,0.005183717703125274,-0.021038288641683132,0.006115576265541687,-0.02556985512012523,0.010679516532486244,0.017336014982161755,-0.04465901646739881
lh_bankssts-lh_temporalpole,0.010316668227795589,-0.02065237086403787,0.008443068435537254,-0.03547592538483719,0.0030683836589558986,-0.0008580636564761184,-0.019474448557073216
lh_bankssts-lh_transversetemporal,-0.010033773348464722,-0.021801946436620482,-0.004662931437785252,-0.005153403194864163,0.004318670637450428,-0.02407500526656184,-0.03571274889966734
lh_bankssts-lh_insula,-0.00654690364271716,-0.006498083013549758,0.002183602054546065,-0.0029290069255112584,-0.027234154344888732,-0.015572476200044087,0.018168807798047627
lh_bankssts-rh_bankssts,-0.0008922704331949993,0.0033674137476663027,0.011103787021733225,-0.004326144885321527,-0.0009690876993532618,0.006299169426656279,-0.006058527184119855
lh_bankssts-rh_caudalanteriorcingulate,-0.0005383430753117122,-0.0010063264240481198,0.025750483823818657,-0.01858572375514067,0.03317290683154228,-0.026012808085270154,0.01125590431037337
lh_bankssts-rh_caudalmiddlefrontal,-0.001223883397466385,-0.009753341488665248,0.017888282612968723,-0.004347081359064836,0.002082224833294746,0.009179181407233429,-0.018840013278727565
lh_bankssts-rh_cuneus,0.02373873729644582,-0.030024336714838916,-0.016867191728379936,0.004754855235120557,0.024642935572810467,0.0081714348690814,-0.002139142390480779
lh_bankssts-rh_entorhinal,0.006090389005840915,-0.012311120423892784,0.014007915479627354,-0.014750690397618225,0.030898196314863083,0.03176591458796616,-0.02022430164435133
lh_bankssts-rh_fusiform,-5.010129525671584e-05,-0.011218039314092043,0.025825578271818233,0.004784080248625054,0.0128529318619834,0.023055170655173703,-0.026903249363797673
lh_bankssts-rh_inferiorparietal,-0.0008256595806807301,-0.014314581110211224,0.015975943973994558,-0.009703901102921134,0.015043004531996137,0.015130917415318464,-0.028035454232596405
lh_bankssts-rh_inferiortemporal,-0.0004887756685185555,-0.017297698730232305,0.019944814526031685,-0.00023034992937166646,0.014032906870778917,0.01822755439583719,-0.03838630241911977
lh_bankssts-rh_isthmuscingulate,4.68266341848052e-05,-0.028534048300975005,-0.01050315039096546,-0.0013768812463453746,0.0326113667248061,-0.017890777075870015,-0.02753074183957758
lh_bankssts-rh_lateraloccipital,0.014501727809681009,-0.01945039726717181,0.0019794687141067033,-0.008294411148639942,0.009518144785201434,0.008002410820729836,-0.017493039694938265
lh_bankssts-rh_lateralorbitofrontal,0.000652997318144555,-0.012390594362860321,0.02160144142755263,-0.009165126769117777,0.007200907935122489,0.031073734457268028,-0.02320581459527831
lh_bankssts-rh_lingual,0.01865141142727646,-0.03343537785872053,-0.014409261399258714,0.006321625063182281,0.027282378322489278,-0.004598588754385806,-0.0002451738409836509
lh_bankssts-rh_medialorbitofrontal,0.005812783106196032,-0.009476176723442973,0.023817409426949526,-0.009857737152303236,0.013462298176965176,0.012729649650836687,-0.034718438224954074
lh_bankssts-rh_middletemporal,-0.001643241849578582,-0.01880471075698885,0.011194485180499172,-0.01538514977831529,0.008390898869962747,0.01451598508847022,-0.03605005799134853
lh_bankssts-rh_parahippocampal,-0.013676740497244171,-0.026206473215181686,0.0025117254172611425,-0.015358969079923996,0.017025160040845227,0.018660935724208683,-0.00712881989319932
lh_bankssts-rh_paracentral,-0.012793473976097484,-0.024955072327801996,0.009954866536145569,-0.006613635908941158,0.015542637721263027,-0.007247026480107841,-0.01960025127677137
