,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
age,0.14115998546924327,0.26172036183660397,0.20002391302048167,0.2929716131459227,0.28308197403191104,0.2676788219915892,0.14955091862348716,0.15590501927610906,0.16800702968603487,0.11690006392241577
lh_bankssts-lh_caudalanteriorcingulate,-0.01121653470129311,0.042957558164688915,0.0053019792143324885,-0.027986214648231183,0.016478993679994457,0.025898641598988765,-0.01405198210518036,-0.0005928377737222213,-0.016815007852245545,0.007712171095160346
lh_bankssts-lh_caudalmiddlefrontal,-0.008680365590603372,0.01719353626986911,-0.007753320487996161,-0.0008752930748481093,-0.00995873640612467,0.014165043463274504,0.001147826488822187,-0.011298851020017918,0.008380169106501772,0.02294094163140726
lh_bankssts-lh_cuneus,0.01480045256297223,0.005526259392289191,-0.026398375778648106,0.021957307878269498,0.00020477997015856504,0.013570253942955093,-0.005444679488219177,-0.013203888801416977,0.018754438495874652,0.022297915908674106
lh_bankssts-lh_entorhinal,-0.017273106881918732,0.0037659803205990923,-0.015462213811280302,0.00705007718148788,9.851672791501234e-05,0.020210920182912862,-0.0033378641633763618,-0.028515352508994302,0.006709075259236741,0.008980873373258957
lh_bankssts-lh_fusiform,-0.019223957188990313,0.014342380172156418,-0.006767431669006338,0.01985499535435675,0.001799423728605924,0.026495872147594655,0.0023076091360902224,-0.0233547932346533,0.019399058795791492,0.010093370346788996
lh_bankssts-lh_inferiorparietal,-0.01340916905827013,0.011568114176732307,-0.013351045676127238,-0.00034660962031021384,-0.016418164532987674,0.012187598435306878,-0.005863644336186082,-0.01651511128035724,0.030607163175944717,0.021371701961524152
lh_bankssts-lh_inferiortemporal,-0.01971500095823713,0.010421959265680585,-0.010226781396809872,0.01968269960141773,0.003108381234818878,0.02335704332448933,-0.0057446105070429404,-0.036472262673126477,0.0016819526999896294,0.0017921604825529931
lh_bankssts-lh_isthmuscingulate,0.00012793409963584722,0.009208081217035655,-0.01343261115928018,0.011457451109585102,0.0250082876678758,-0.012868481313936933,-0.00785069815195491,0.004047939318971355,0.007294174695831305,-0.011423611342723487
lh_bankssts-lh_lateraloccipital,0.0032410090555817462,0.01375936711316117,-0.01554096885574395,0.013443596628579128,-0.00933042091684322,0.010739489784189527,-0.010680644627758026,-0.028583311939463608,0.010941274475817666,0.006454707193352949
lh_bankssts-lh_lateralorbitofrontal,-0.01773291049284539,0.017082111500185477,-0.0058658080295133025,0.014224059796980291,-0.007542302662405211,0.028431661401142956,0.004316022553345707,-0.026859472308049758,0.01480553241025583,0.0143402463418673
lh_bankssts-lh_lingual,0.004744131510196743,-0.0028998503896881913,-0.03211231582308999,0.017054446779745946,0.006755912012001689,0.007185000240203753,-0.0010252012764333368,0.00811564384980855,0.029488949071411495,-0.014757979486506829
lh_bankssts-lh_medialorbitofrontal,-0.009614346179780273,0.025743822792330878,-0.008091526028967106,0.007470041052739524,-0.012344899483229496,0.00854975796272109,-0.012275111805501802,-0.03256063895564611,0.01852426983030502,-0.015604067133064014
lh_bankssts-lh_middletemporal,-0.011861831840101153,0.013443339208082682,-0.01181363633827632,0.00018498634329024635,-0.022474338264592306,0.0021878681620200553,-0.01685472776023298,-0.037691265931594733,0.007282939752130629,-0.0047962960051549
lh_bankssts-lh_parahippocampal,-0.022494312475758626,0.0013179515370667116,-0.015272817991074519,-0.007835188277006364,0.0003800243778697685,0.014398921676328318,-0.0007514993840904203,-0.017145998428527275,-0.006823858496653166,0.009953518897824708
lh_bankssts-lh_paracentral,-0.022641853300362013,0.010567762080767804,-0.010390246896163455,0.006090873608236796,-0.00702684563775283,0.004058483339492387,-0.007404715917446195,0.001739755391379503,0.03961268522824446,0.006593301637678032
lh_bankssts-lh_parsopercularis,-0.008539804194960985,0.017259034410364985,-0.006335579913303243,0.0028798395666050844,-0.015948364436733798,0.006726099858043905,-0.009649849552237405,-0.026110082853935655,0.005670160141268681,0.02549939578584946
lh_bankssts-lh_parsorbitalis,-0.010879556833289956,0.020892394804565964,-0.007772311849544017,0.011984460780213688,-0.007603271135666489,0.018749027998445956,-0.00508045753460596,-0.02828414052974439,0.02668828277304226,0.013626562462137849
lh_bankssts-lh_parstriangularis,-0.01835901107664431,0.009835029996911573,-0.013666760344742354,0.002090011492313189,-0.012901190478079022,-0.0008972810185213055,-0.017446844391091305,-0.02869466392922157,0.02002691484959943,0.02485944514689341
lh_bankssts-lh_pericalcarine,0.014171429808043036,-0.024708457978384387,-0.043778026102225635,0.011294360121619995,0.007548151623997591,0.0009826537911575056,-0.023363022722909018,-0.01692504995251193,0.030850266994703657,0.005940061274904198
lh_bankssts-lh_postcentral,-0.009174218823197045,0.012843091605016194,-0.01563390983815136,0.007189447961675906,-0.02410947392137336,0.013234068629675157,0.00748435341491838,-0.0011168313155224092,0.021053208190646523,-0.0009055273090480509
lh_bankssts-lh_posteriorcingulate,-0.010720321347784861,0.021570254295249343,-0.0086844090502314,-0.027873362897305194,0.02596059823453986,0.012531480242159637,-0.007746532752736828,0.00012334680574755476,0.02050401123871042,-0.025086296453934568
lh_bankssts-lh_precentral,-0.017301630229799903,0.006623691123162697,-0.01460667249261827,-0.004925411266288731,-0.014371715430198976,0.009820930692720737,-0.0035653475786542456,-0.015944181282398145,0.021296286390041542,0.015515520857890066
lh_bankssts-lh_precuneus,-0.022126773605120966,-0.00010475466634944666,-0.02021924356672546,-0.0015746046996745174,-0.020224335740040508,0.00648850991338665,-0.011500079551794544,-0.028166823182119372,0.012749792212878107,0.009145436463933485
lh_bankssts-lh_rostralanteriorcingulate,-0.03051849969334433,0.016091493758790997,-0.004369531442208613,0.02512999676377103,0.026203220829107282,0.03414343018571847,0.007088113434251364,-0.02074776929562689,0.02397529062999347,0.023683676245109392
lh_bankssts-lh_rostralmiddlefrontal,-0.010527792523725538,0.01447971151992789,-0.009466587229148306,0.009948543118029054,-0.007064686063889983,0.014979860990366793,-0.011496674848587497,-0.031378220836113746,0.020146764122904254,-0.0009896882304312302
