,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
age,0.6569219443141968,0.3077514481448711,0.5692953680169718,-0.28612049532080674,-0.13403361855885865,0.02781749693389632
lh_bankssts,-0.05455612488808332,0.0753820385191419,-0.03868845859740787,0.012893697235478683,-0.04091831288178656,0.08754151347366898
lh_caudalanteriorcingulate,-0.09129271640013638,0.10700944349373401,0.18954989018948534,0.18587845407941822,-0.05913723567960084,0.11311986284054354
lh_caudalmiddlefrontal,0.009835177286150737,0.12249627339838687,-0.05846564029666264,0.1031775829952445,-0.21287281702573918,-0.0445367820131524
lh_cuneus,0.16064596345841117,0.05317850472783789,-0.27802699185930624,-0.0145549957208232,-0.03267612652890545,0.19905696491941866
lh_entorhinal,-0.0013149940156397394,0.06296262420403827,-0.013522267197150087,0.07594348746408827,-0.0392032697060865,0.10286835417262583
lh_fusiform,-0.12852273752189666,0.12756485377643545,0.046567385392445794,-0.17569879131065835,0.10330537850055843,-0.05111508514094486
lh_inferiorparietal,-0.09417466242595926,0.14522311440451602,-0.0501770105478975,0.007682765092253892,-0.09519498622658532,0.07081573322071388
lh_inferiortemporal,-0.19941487470370822,0.1150941975192555,0.03819524714551102,-0.2143343908328406,-0.01178680487375807,0.08055986452583835
lh_isthmuscingulate,-0.010258356733212036,0.05888159304365719,-0.07700313076158599,-0.13646618121717696,0.012609114867799816,-0.08151467309762027
lh_lateraloccipital,0.12304734961534318,0.10727154323104574,-0.17757528835796882,-0.0546336367637094,-0.10173848462021189,0.21340464188759958
lh_lateralorbitofrontal,-0.09222568781567016,0.13162649273123714,0.0015229176020214571,-0.03450191190418735,0.05285119028787348,-0.08440931493336776
lh_lingual,0.1137783066936367,0.06760783507942636,-0.2332097145583484,-0.023223677181893634,0.15629524752242682,-0.06662472951983686
lh_medialorbitofrontal,-0.04269016720018952,0.13012883623987592,0.00016533270705500715,0.14968275259745273,0.1167582412105235,-0.049718945718786746
lh_middletemporal,-0.04846336897998958,0.1688051741912613,0.0983833570750821,0.022928840095349085,0.19294768693780795,-0.15633905636623488
lh_parahippocampal,-0.05885765016741557,0.08831468654843978,0.046333632999932754,0.05797859205301978,0.06913419658936441,0.23188412163821093
lh_paracentral,-0.03090868185085013,0.1181329832147215,-0.04165982185858967,0.003466716633034903,-0.1418797444276384,-0.0913740244467922
lh_parsopercularis,0.0003313634433936028,0.1334539529470229,-3.945978007457707e-05,-0.034182002451141426,-0.015327710986583433,-0.14429077887319836
lh_parsorbitalis,-0.06814016984357812,0.11094537432699902,-0.01998572636369487,-0.07023036855384641,-0.06376080254650812,-0.06274110487517139
