,Component_1,Component_2,Component_3,Component_4,Component_5
age,0.46112223892324417,0.31285466819542207,0.269361954159259,-0.16260228409396438,0.03937552593912371
lh_bankssts,0.015552382461361168,-0.10144464190911003,-0.03041085296575193,0.15813595940290873,-0.22215666464281078
lh_caudalanteriorcingulate,-0.0958237696646296,-0.1002267124325307,0.162354883813735,-0.06439198905993877,0.0712447360965362
lh_caudalmiddlefrontal,0.08613082981004659,-0.10084484227403305,0.007090261287370484,-0.04817046683174631,-0.0510707642745789
lh_cuneus,0.18759251456454426,-0.050831524342621934,-0.26547076610319276,-0.03166254554024557,-0.005108617964096711
lh_entorhinal,0.05824741120918549,-0.03209357248163801,0.05445334219790434,0.004597031156591567,-0.03300018951773192
lh_fusiform,-0.024842222342831302,-0.1530413694406212,0.08674510672798728,0.001208817457381136,0.14647418699223555
lh_inferiorparietal,0.014603445177842006,-0.1862045641087369,0.008289815821556626,-0.022211895734114473,-0.09793529539458314
lh_inferiortemporal,-0.07087324276167596,-0.18069522074901595,0.11752766676193638,-0.07225435588483992,-0.025325079065638138
lh_isthmuscingulate,0.029997881047845752,-0.08144956518628342,-0.021913568323395492,-0.2257882924732979,0.3040687599603256
lh_lateraloccipital,0.18832417279051414,-0.06341653145391314,-0.13279073641485198,-0.04765226795236455,-0.004888936603680013
lh_lateralorbitofrontal,0.011885631725374563,-0.14941264055918244,0.040492096041393644,0.08414668643938879,0.006608391487648387
lh_lingual,0.15830846590637865,-0.06725985743079589,-0.18596936569306463,-0.1198186528434884,0.0941742067076288
lh_medialorbitofrontal,0.08327241350898604,-0.08569790876245684,0.11025832430032309,0.1363694085504627,0.10488634544069163
lh_middletemporal,0.011948293115478181,-0.13941997362325823,0.08624112354939707,-0.0034524696054441424,-0.033375208338214044
lh_parahippocampal,-0.004124896926902662,-0.07981950124855416,0.10942301391290929,-0.12706545747199924,0.07146110831066303
lh_paracentral,0.05984457123031635,-0.1094537723008441,0.0487299356040529,-0.14866688952620516,-0.1032756382232852
lh_parsopercularis,0.06542744802559018,-0.10440721930616424,0.022171231264549025,-0.043530283915528586,-0.04227716547417195
lh_parsorbitalis,0.0842181279985706,-0.07686896583495616,0.12643587799231568,0.009660562517795943,-0.13803607407948462
lh_parstriangularis,0.01788574954748319,-0.13482633707971522,0.014611263630314024,-0.03550428882112073,-0.09368231582698876
lh_pericalcarine,0.21414007816806588,0.00894243124298516,-0.1670390113450172,-0.057380990505655,-0.04618461555206196
lh_postcentral,0.07581280179958359,-0.11158019059926744,-0.0629996757000016,-0.11352701386539941,0.06492527018817064
lh_posteriorcingulate,-0.0014952620606293145,-0.08992661783705093,0.171135344694255,0.14033922410293811,0.17766029261124874
lh_precentral,0.07386549988380774,-0.13381650704826226,-0.03469607513320533,-0.018223948144603257,0.003948602290012833
lh_precuneus,0.05628647025358446,-0.16482912814833608,0.019123238252200823,-0.09879612701514809,-0.06453926120735032
lh_rostralanteriorcingulate,-0.12703235375146513,-0.1865316997220042,0.045182758218808926,-0.06127507070263886,-0.1418998215354167
