,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
age,0.6088166909684952,0.3432387615558896,0.5844712703309864,-0.24836888480656885,-0.08428070245587709,-0.017408451766410635
lh_bankssts,-0.07143816381909858,0.06572163720743553,-0.030285461130716188,0.020641482837289976,-0.10076511898693592,0.07111011653271791
lh_caudalanteriorcingulate,-0.10149887369130758,0.04751763758283007,0.21143026727941644,0.1424409465910049,-0.04309421386197987,0.16450479284293004
lh_caudalmiddlefrontal,-0.011395733892887663,0.13547626776746494,-0.021740966582965444,0.11210160924483692,-0.2007799487815859,-0.06863990278997324
lh_cuneus,0.13305894052451958,0.14347194543144728,-0.2416380724778329,-0.07947585595724811,-0.09964724290095134,0.2934375617474543
lh_entorhinal,-0.028795049344540215,0.05414679988333185,-0.015983300536557568,0.03884671156205749,-0.022683001276952806,0.10806252665618422
lh_fusiform,-0.14131593310082377,0.09116795603161171,0.08743229765686517,-0.1274742717825112,0.08492963914190095,-0.1223836894825406
lh_inferiorparietal,-0.1189820714084729,0.13310291485820858,0.0035683401601713043,-0.043010767078682385,-0.13473449023250714,0.1244313424363507
lh_inferiortemporal,-0.21182969785975805,0.06254370887682995,0.07056862580141424,-0.18528514470015445,-0.05706174059406476,0.022407439448751097
lh_isthmuscingulate,-0.002664711123630935,0.08655091284587069,-0.013760555075869324,-0.11208481783468972,0.030168270741848812,-0.033688003515468176
lh_lateraloccipital,0.08613949727477745,0.16424487359145504,-0.14918093983047262,-0.06941938254077758,-0.05540611763412666,0.19565652227503041
lh_lateralorbitofrontal,-0.1257691216040014,0.09960665933407038,0.011153867240915164,0.006265646897900052,0.06426423439603508,-0.10541581833788073
lh_lingual,0.0849171041487166,0.136535028219351,-0.20227351989515255,-0.048802251907962425,0.17881731976367599,-0.059184414166009974
lh_medialorbitofrontal,-0.0533444968412658,0.12705916753410063,0.06413058073844266,0.09267136180869699,0.0801465946494788,-0.020748159768958843
lh_middletemporal,-0.08767173376484769,0.12497494924843165,0.10196875301939796,0.0686312671272964,0.16510965671675154,-0.1816508369274009
lh_parahippocampal,-0.06731475996490267,0.06653589008059303,0.06973265294630422,0.08542069205252595,0.0033994718792394996,0.20249327660475652
lh_paracentral,-0.06821162370386971,0.10641073230076391,-0.03283008363435078,-0.00028402851850475386,-0.10935564310890492,-0.0659903814730416
lh_parsopercularis,-0.040922419124508634,0.11794500988682911,-0.008052396640488254,0.002915534268966537,-0.014134219395735037,-0.12183316920319792
lh_parsorbitalis,-0.08513822687138616,0.09878581865514012,0.013185966953200812,-0.050671568269714674,-0.06900076710385872,-0.07894964124004224
lh_parstriangularis,-0.09682126915701961,0.09451829566769483,-0.01303638061499036,-0.05302343810171528,-0.01649682098804878,-0.08121258316707287
lh_pericalcarine,0.12694818920397255,0.11182095919075455,-0.2328024196410274,-0.1065839255582383,-0.0790983198697062,0.2315133040810137
