Row,Component_1,Component_2
lh_bankssts-lh_caudalanteriorcingulate,-5.50529542173718e-06,5.73644637503447e-05
lh_bankssts-lh_caudalmiddlefrontal,-1.29792983441057e-05,3.25343906466029e-06
lh_bankssts-lh_cuneus,1.06911957970899e-05,-6.56038303056506e-06
lh_bankssts-lh_entorhinal,-2.26022585567326e-05,-4.13547058967166e-05
lh_bankssts-lh_fusiform,-2.42747175721232e-05,-2.50660265135298e-05
lh_bankssts-lh_inferiorparietal,-1.41340955037194e-05,3.12912281318863e-06
lh_bankssts-lh_inferiortemporal,-2.82792715045971e-05,-4.45575675855563e-05
lh_bankssts-lh_isthmuscingulate,-1.02830344138317e-05,-2.24494598540932e-05
lh_bankssts-lh_lateraloccipital,-9.40988254523498e-07,2.82009910751189e-06
lh_bankssts-lh_lateralorbitofrontal,-2.25563328527373e-05,-1.10169211116703e-05
lh_bankssts-lh_lingual,3.97729044926418e-06,-1.18634079904279e-05
lh_bankssts-lh_medialorbitofrontal,-2.2415491846756e-05,-2.05559282148516e-05
lh_bankssts-lh_middletemporal,-1.97082221956473e-05,-2.251950414744e-05
lh_bankssts-lh_parahippocampal,-2.57055913905598e-05,-2.98826017479302e-05
lh_bankssts-lh_paracentral,-1.41301101124657e-05,1.22148661759048e-05
lh_bankssts-lh_parsopercularis,-1.17148739528286e-05,9.75780468435791e-06
lh_bankssts-lh_parsorbitalis,-1.7903260733137e-05,-7.96992101101474e-06
lh_bankssts-lh_parstriangularis,-1.36437852603396e-05,1.51471673789122e-05
lh_bankssts-lh_pericalcarine,1.90571415243196e-05,-1.4237839699333e-05
lh_bankssts-lh_postcentral,-3.98034459725025e-06,1.0343314384763e-05
lh_bankssts-lh_posteriorcingulate,-8.53812477503443e-06,2.32014086764087e-05
lh_bankssts-lh_precentral,-1.17200267496077e-05,1.70601865832396e-05
lh_bankssts-lh_precuneus,-2.35789959751723e-05,-3.22728487268242e-05
lh_bankssts-lh_rostralanteriorcingulate,-2.46481113319266e-05,-4.21368973571271e-06
lh_bankssts-lh_rostralmiddlefrontal,-1.66109737093526e-05,-1.17925140499848e-05
