Row,Component_1,Component_2,Component_3
lh_bankssts-lh_caudalanteriorcingulate,-1.00752489726008e-05,8.81661633602236e-07,2.38729855414404e-05
lh_bankssts-lh_caudalmiddlefrontal,-1.41556247486647e-05,-1.26839710230708e-05,-9.75410657176042e-06
lh_bankssts-lh_cuneus,-7.40500386441582e-06,2.1864314147408e-06,-2.39784760734784e-05
lh_bankssts-lh_entorhinal,-1.57193613855632e-05,-1.5476722690089e-05,-1.8788406549592e-05
lh_bankssts-lh_fusiform,-1.72718215470042e-05,-1.70349529377487e-05,-1.33256409991379e-05
lh_bankssts-lh_inferiorparietal,-1.46823534157518e-05,-1.21198909297644e-05,-9.5885384684772e-06
lh_bankssts-lh_inferiortemporal,-1.73947704175276e-05,-1.6950650831605e-05,-1.39154351358484e-05
lh_bankssts-lh_isthmuscingulate,-3.74409262654939e-06,6.33650245275486e-06,-5.81514600611426e-06
lh_bankssts-lh_lateraloccipital,-1.04502890533474e-05,-4.43322555746406e-06,-1.47000875731535e-05
lh_bankssts-lh_lateralorbitofrontal,-2.12266899542903e-05,-2.50302362779195e-05,-2.56304771396589e-05
lh_bankssts-lh_lingual,-6.44798893301426e-06,7.34172730015574e-06,-1.11246385588037e-05
lh_bankssts-lh_medialorbitofrontal,-1.57651759406671e-05,-1.03290405407725e-05,-1.18087039547546e-06
lh_bankssts-lh_middletemporal,-1.49104878813135e-05,-1.31219890933373e-05,-9.68165583495683e-06
lh_bankssts-lh_parahippocampal,-1.32572645244748e-05,-1.03825512210332e-05,-3.93802270229496e-06
lh_bankssts-lh_paracentral,-1.71125571397426e-05,-1.31505302186403e-05,-8.59071195064504e-06
lh_bankssts-lh_parsopercularis,-1.55442960421978e-05,-1.58399953126188e-05,-1.67800466499646e-05
lh_bankssts-lh_parsorbitalis,-1.51818310627005e-05,-1.11432680853375e-05,-4.60492905744748e-06
lh_bankssts-lh_parstriangularis,-1.67019395944338e-05,-1.41036418608858e-05,-8.98068773014664e-06
lh_bankssts-lh_pericalcarine,1.48378841418532e-06,1.59427269094056e-05,-9.61780590515296e-06
lh_bankssts-lh_postcentral,-1.24392089380501e-05,-1.88020342574971e-06,2.64780101872513e-08
lh_bankssts-lh_posteriorcingulate,-4.42829651253374e-06,1.08895461506215e-05,3.42785695435994e-05
