Row,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-lh_caudalanteriorcingulate,-1.00752489726008e-05,8.81661633602236e-07,2.38729855414404e-05,-3.62609454376014e-06,1.919187885349e-05
lh_bankssts-lh_caudalmiddlefrontal,-1.41556247486647e-05,-1.26839710230708e-05,-9.75410657176042e-06,1.57338570143696e-07,6.52100360726486e-06
lh_bankssts-lh_cuneus,-7.40500386441582e-06,2.1864314147408e-06,-2.39784760734784e-05,1.11819236447935e-05,1.88587787689709e-05
lh_bankssts-lh_entorhinal,-1.57193613855632e-05,-1.5476722690089e-05,-1.8788406549592e-05,2.03324883961022e-06,3.25837568338464e-05
lh_bankssts-lh_fusiform,-1.72718215470042e-05,-1.70349529377487e-05,-1.33256409991379e-05,9.66974015977192e-06,2.5148144793293e-05
lh_bankssts-lh_inferiorparietal,-1.46823534157518e-05,-1.21198909297644e-05,-9.5885384684772e-06,1.77174841156681e-06,-2.24458322543106e-06
lh_bankssts-lh_inferiortemporal,-1.73947704175276e-05,-1.6950650831605e-05,-1.39154351358484e-05,1.75179153998968e-05,5.85141386739298e-05
lh_bankssts-lh_isthmuscingulate,-3.74409262654939e-06,6.33650245275486e-06,-5.81514600611426e-06,-1.69634064656152e-05,6.66029292787177e-07
lh_bankssts-lh_lateraloccipital,-1.04502890533474e-05,-4.43322555746406e-06,-1.47000875731535e-05,6.08661456208723e-06,8.26087807358057e-07
lh_bankssts-lh_lateralorbitofrontal,-2.12266899542903e-05,-2.50302362779195e-05,-2.56304771396589e-05,-3.69836465163659e-06,1.55853880023305e-05
lh_bankssts-lh_lingual,-6.44798893301426e-06,7.34172730015574e-06,-1.11246385588037e-05,1.98952846603247e-05,2.02957756207399e-05
lh_bankssts-lh_medialorbitofrontal,-1.57651759406671e-05,-1.03290405407725e-05,-1.18087039547546e-06,1.96184719267361e-05,2.99398739979178e-05
lh_bankssts-lh_middletemporal,-1.49104878813135e-05,-1.31219890933373e-05,-9.68165583495683e-06,1.05187500770306e-05,2.08381975968001e-05
lh_bankssts-lh_parahippocampal,-1.32572645244748e-05,-1.03825512210332e-05,-3.93802270229496e-06,1.05221962947217e-07,-5.8150651807513e-06
lh_bankssts-lh_paracentral,-1.71125571397426e-05,-1.31505302186403e-05,-8.59071195064504e-06,-7.29699785092219e-06,-2.07712028251321e-05
lh_bankssts-lh_parsopercularis,-1.55442960421978e-05,-1.58399953126188e-05,-1.67800466499646e-05,-1.02075982713704e-05,-1.53287235837831e-05
lh_bankssts-lh_parsorbitalis,-1.51818310627005e-05,-1.11432680853375e-05,-4.60492905744748e-06,1.16176805600275e-05,5.63659514669929e-07
lh_bankssts-lh_parstriangularis,-1.67019395944338e-05,-1.41036418608858e-05,-8.98068773014664e-06,7.78867938708751e-06,1.58114440109502e-05
lh_bankssts-lh_pericalcarine,1.48378841418532e-06,1.59427269094056e-05,-9.61780590515296e-06,2.2356934955058e-05,5.18076920986444e-06
lh_bankssts-lh_postcentral,-1.24392089380501e-05,-1.88020342574971e-06,2.64780101872513e-08,1.71418189800798e-05,7.476782782754e-06
lh_bankssts-lh_posteriorcingulate,-4.42829651253374e-06,1.08895461506215e-05,3.42785695435994e-05,2.11942977467852e-05,7.66281904635238e-05
lh_bankssts-lh_precentral,-1.53752538827086e-05,-1.26298792387202e-05,-4.22154862490176e-06,1.44580964004896e-05,2.65918064636381e-05
lh_bankssts-lh_precuneus,-1.74904760994992e-05,-1.72751147588168e-05,-2.15513183139715e-05,-1.42295304507908e-05,-2.26263631763577e-05
lh_bankssts-lh_rostralanteriorcingulate,-2.03381250790793e-05,-1.39636286524756e-05,1.09813133767e-05,5.66669512606835e-05,0.000107144629679748
lh_bankssts-lh_rostralmiddlefrontal,-1.35426468719275e-05,-1.13661229810758e-05,-9.56433517596973e-06,6.369405755325e-06,1.0307354322282e-05
lh_bankssts-lh_superiorfrontal,-1.95977772645976e-05,-2.11969104131025e-05,-2.27344634271868e-05,-7.77561695211358e-07,1.72804407479443e-05
lh_bankssts-lh_superiorparietal,-9.1920611315623e-06,1.49347603165883e-06,4.15150238075933e-07,-2.99699077893291e-06,-4.72568342776051e-05
lh_bankssts-lh_superiortemporal,-1.60182039780832e-05,-1.29556725644746e-05,-1.3713615462166e-05,-6.01594231397943e-06,-1.361761729639e-05
lh_bankssts-lh_supramarginal,-1.81761819652325e-05,-1.95223125304452e-05,-2.09814165059474e-05,-8.21392758617937e-06,1.59434315324947e-07
lh_bankssts-lh_frontalpole,-1.96401890668474e-05,-2.05184121197636e-05,-2.265186120204e-05,2.49848276442151e-06,-6.63906180851478e-06
lh_bankssts-lh_temporalpole,-1.26560757277196e-05,-3.55180353245794e-06,-1.56715903732354e-05,-8.68710474793225e-06,3.82202375776982e-05
lh_bankssts-lh_transversetemporal,-1.10145637462262e-05,-9.09179987577326e-06,-4.24698764112237e-06,1.62422532583471e-05,3.42460876533994e-05
lh_bankssts-lh_insula,-1.7570763024268e-06,2.76509691653525e-06,3.36248376031466e-06,-3.27927203042942e-06,-2.1077602918473e-06
lh_bankssts-rh_bankssts,-5.34864335882932e-06,-4.92819828889245e-06,-1.99693505333701e-06,-1.32463240828722e-05,-2.57624948958337e-05
lh_bankssts-rh_caudalanteriorcingulate,-3.70814763581493e-06,1.69607743674651e-05,4.74524784136951e-05,3.29518445958673e-05,7.91228561735869e-05
lh_bankssts-rh_caudalmiddlefrontal,-1.35330623779379e-05,-1.05167244161878e-05,-2.2144364474256e-06,8.88405893464345e-06,1.01496057790862e-05
lh_bankssts-rh_cuneus,-7.32402314264915e-06,-1.38730957385397e-06,-3.55827752544045e-05,-5.04516357815613e-06,9.96414287210099e-06
lh_bankssts-rh_entorhinal,-1.51940552570354e-05,-1.48098162404298e-05,-1.77988201162092e-05,5.80559231181234e-06,4.83728637993242e-05
