,Component_1,Component_2
lh_bankssts-lh_caudalanteriorcingulate,-0.006464312543902023,0.047366154381092866
lh_bankssts-lh_caudalmiddlefrontal,-0.01570421013115079,0.008787853931262017
lh_bankssts-lh_cuneus,0.013223200961508594,-0.012031165637055346
lh_bankssts-lh_entorhinal,-0.027714616013828776,-0.021102345724290743
lh_bankssts-lh_fusiform,-0.029961594613872475,-0.007268550406053896
lh_bankssts-lh_inferiorparietal,-0.01733904999041447,0.009655116872316561
lh_bankssts-lh_inferiortemporal,-0.03502572896320802,-0.020784108067554204
lh_bankssts-lh_isthmuscingulate,-0.012583862249767278,-0.012446816396795015
lh_bankssts-lh_lateraloccipital,-0.001148672619107473,0.002205105287642436
lh_bankssts-lh_lateralorbitofrontal,-0.02738650929714673,0.002931370925329876
lh_bankssts-lh_lingual,0.0047863956034018005,-0.012422994076671993
lh_bankssts-lh_medialorbitofrontal,-0.027970378240148103,-0.004832475779277284
lh_bankssts-lh_middletemporal,-0.0242792786827253,-0.00780824347209697
lh_bankssts-lh_parahippocampal,-0.03135697660551798,-0.010609760581642098
lh_bankssts-lh_paracentral,-0.017035947383691512,0.016640679880149636
lh_bankssts-lh_parsopercularis,-0.01413105038105658,0.0134306399752244
lh_bankssts-lh_parsorbitalis,-0.02218852985683727,0.002762881409713749
lh_bankssts-lh_parstriangularis,-0.01674652231341815,0.018787296086134875
lh_bankssts-lh_pericalcarine,0.023076254163059706,-0.02267883806469887
lh_bankssts-lh_postcentral,-0.004915157678918566,0.010084881452663222
lh_bankssts-lh_posteriorcingulate,-0.010394134665624255,0.02255069193195584
lh_bankssts-lh_precentral,-0.014180480036793812,0.019140270100738207
lh_bankssts-lh_precuneus,-0.028919542751136024,-0.013415426304111643
lh_bankssts-lh_rostralanteriorcingulate,-0.030418729258708952,0.009492160020733071
lh_bankssts-lh_rostralmiddlefrontal,-0.02061387905510362,-0.0007513259043672475
lh_bankssts-lh_superiorfrontal,-0.0219216210856721,0.001477313766854769
lh_bankssts-lh_superiorparietal,-0.004300245089908531,0.013345746085310271
lh_bankssts-lh_superiortemporal,-0.022070771839660306,-0.0018137989362601637
lh_bankssts-lh_supramarginal,-0.018522879843474494,0.016895499381458345
lh_bankssts-lh_frontalpole,-0.023983787516245154,-0.001660464098835854
lh_bankssts-lh_temporalpole,-0.017186399377909493,-0.020379493804274913
lh_bankssts-lh_transversetemporal,0.0018674666744219646,0.02768315248189579
lh_bankssts-lh_insula,0.0006548507247079081,0.0022251744596872396
lh_bankssts-rh_bankssts,-0.002688847054592561,0.022452795080263186
lh_bankssts-rh_caudalanteriorcingulate,-0.004869882168932837,0.034282757464270765
lh_bankssts-rh_caudalmiddlefrontal,-0.014401669484336297,0.019824094504502756
lh_bankssts-rh_cuneus,0.01723309360806974,-0.012658163657229209
lh_bankssts-rh_entorhinal,-0.023422282313515067,-0.015896039478882257
lh_bankssts-rh_fusiform,-0.023238361483169646,0.008146198743977246
lh_bankssts-rh_inferiorparietal,-0.02132402328097738,0.008813560236575391
lh_bankssts-rh_inferiortemporal,-0.03325110880237866,-0.014769812997725415
lh_bankssts-rh_isthmuscingulate,-0.017585298078532683,-0.022900777041858115
lh_bankssts-rh_lateraloccipital,-0.0018136422667968445,-0.0002742215052940851
lh_bankssts-rh_lateralorbitofrontal,-0.02566965821554676,0.008461690456571884
lh_bankssts-rh_lingual,0.014587268803988756,-0.004369713567208867
lh_bankssts-rh_medialorbitofrontal,-0.021154160978601805,0.01099583053127504
lh_bankssts-rh_middletemporal,-0.026134906627144287,-0.0043386236625233615
lh_bankssts-rh_parahippocampal,-0.033033042119165905,-0.015122593115708741
lh_bankssts-rh_paracentral,-0.01736859686754966,0.0151459274858126
lh_bankssts-rh_parsopercularis,-0.020334593339129826,0.002156442376104242
lh_bankssts-rh_parsorbitalis,-0.022479760520892147,0.003023644208249001
lh_bankssts-rh_parstriangularis,-0.020118500841566238,0.009405833144290311
lh_bankssts-rh_pericalcarine,0.02466884372779964,-0.03153710782971191
lh_bankssts-rh_postcentral,0.0019835019587186894,0.014162450241796843
lh_bankssts-rh_posteriorcingulate,-0.012709786175932995,0.013482895595428063
lh_bankssts-rh_precentral,-0.01674114496262983,0.018629988850254554
lh_bankssts-rh_precuneus,-0.02295144772956048,-0.002268580055473075
lh_bankssts-rh_rostralanteriorcingulate,-0.02840473019840398,0.013719358018013165
lh_bankssts-rh_rostralmiddlefrontal,-0.01682250590852154,0.0027829698063641583
lh_bankssts-rh_superiorfrontal,-0.02179894209144203,0.010403846098544925
lh_bankssts-rh_superiorparietal,0.00266818079011832,0.021492656470779584
lh_bankssts-rh_superiortemporal,-0.024086048315240152,0.0014874072870792406
lh_bankssts-rh_supramarginal,-0.027461497106501528,0.007244547752739312
lh_bankssts-rh_frontalpole,-0.028923494296132803,-0.007149711681295267
lh_bankssts-rh_temporalpole,-0.005492803299544563,-0.004979656832885724
lh_bankssts-rh_transversetemporal,-0.003396663968188714,0.0219533515285411
lh_bankssts-rh_insula,0.006241314306588302,0.01812090763971308
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-0.0021207224425677782,0.05231436106151917
lh_caudalanteriorcingulate-lh_cuneus,0.0013570124767538793,-0.011043856786782788
lh_caudalanteriorcingulate-lh_entorhinal,-0.019510699202027356,0.009245145182434869
lh_caudalanteriorcingulate-lh_fusiform,-0.011612805877716646,0.033964102024838065
lh_caudalanteriorcingulate-lh_inferiorparietal,-0.0021066532126832265,0.05842147119314568
lh_caudalanteriorcingulate-lh_inferiortemporal,-0.015691341750836807,0.025489761832552398
lh_caudalanteriorcingulate-lh_isthmuscingulate,-0.018317561460186794,-0.0010382519997966023
lh_caudalanteriorcingulate-lh_lateraloccipital,-0.00637265232856042,0.03119260613658591
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-0.005764444744345867,0.046658838698552654
lh_caudalanteriorcingulate-lh_lingual,-0.005502890941672684,0.005282519320395411
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-0.019727186277256642,0.023661336759087645
lh_caudalanteriorcingulate-lh_middletemporal,-0.011881700474907352,0.03938727291139912
lh_caudalanteriorcingulate-lh_parahippocampal,0.0007105250047924808,0.05477869424434156
lh_caudalanteriorcingulate-lh_paracentral,-0.014843059920409216,0.03915402284627478
