,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-lh_caudalanteriorcingulate,0.018721400570684714,0.011190802866636805,-0.023070360658908152,0.021140856870302337,-0.015222300921371392
lh_bankssts-lh_caudalmiddlefrontal,0.026532365152357764,-0.00502584902158432,-0.0018256588482826494,-0.0084265596463759,-0.004154194213400554
lh_bankssts-lh_cuneus,0.01395717991273751,0.010876596740371915,0.026577822521687836,-0.028670630039130552,-0.004383623223992042
lh_bankssts-lh_entorhinal,0.02952804639463521,-0.0077433811906550765,0.004439378856301497,-0.016934027682894863,-0.02214402275977281
lh_bankssts-lh_fusiform,0.032869946852188685,-0.008458425905249629,-0.002460864185929279,-0.01927762210020115,-0.010706131239445308
lh_bankssts-lh_inferiorparietal,0.027729176513093295,-0.0035651407886882454,-0.001736200661579117,-0.009683892111428399,0.00372912401527627
lh_bankssts-lh_inferiortemporal,0.033127226832228865,-0.008163381724153384,-0.001965835504261677,-0.026542931678022737,-0.029186376374481373
lh_bankssts-lh_isthmuscingulate,0.006998583897734952,0.013518562593397,0.01071103264341832,0.009909038739332939,-0.010439418776823424
lh_bankssts-lh_lateraloccipital,0.01971936574284612,0.003946720827263092,0.010628211189549677,-0.01716080412050433,0.005079477374369606
lh_bankssts-lh_lateralorbitofrontal,0.039928035344936275,-0.016650855105808528,0.002846997712757639,-0.017718290491409744,-0.012685641536301147
lh_bankssts-lh_lingual,0.012128135021004061,0.017728516380264087,0.0181945310839468,-0.02516945413158322,0.0010484583760073775
lh_bankssts-lh_medialorbitofrontal,0.03008286529627494,0.0003253663457305341,-0.008829531450033592,-0.01800282331939062,-0.006068933528550774
lh_bankssts-lh_middletemporal,0.02815964396051434,-0.004840548334242541,-0.0026602239216621517,-0.01726109556387348,-0.006830456190556769
lh_bankssts-lh_parahippocampal,0.024806713158774956,-0.0024692031587050024,-0.0055436390840690845,-0.0035083767689305916,0.0041203146182683175
lh_bankssts-lh_paracentral,0.032020457382350695,-0.002805541741096431,-0.0035204537461019586,-0.0011243651510233637,0.010217059111237093
lh_bankssts-lh_parsopercularis,0.029072720544790445,-0.008380182767383176,0.002273158059286358,-0.005345721924385488,0.0041126626300705725
lh_bankssts-lh_parsorbitalis,0.028840271172608616,-0.0015393315559105614,-0.005961491388289959,-0.01409075060752315,0.008838818322062032
lh_bankssts-lh_parstriangularis,0.03144865417869308,-0.004596219692879114,-0.00413118951226566,-0.014248650786113851,-0.005256983796292022
