,Component_1,Component_2
lh_bankssts-lh_caudalanteriorcingulate,0.0178415205272617,-0.024313735627223346
lh_bankssts-lh_caudalmiddlefrontal,0.027056174687387653,0.0033876617543930274
lh_bankssts-lh_cuneus,0.005246551098472028,0.030983150638924307
lh_bankssts-lh_entorhinal,0.022385791343383636,0.01093644502230964
lh_bankssts-lh_fusiform,0.03246843441274841,0.0033932049694467706
lh_bankssts-lh_inferiorparietal,0.02802878003108032,0.002268817918849973
lh_bankssts-lh_inferiortemporal,0.03481938977280616,0.009001310800804008
lh_bankssts-lh_isthmuscingulate,0.009581530417263626,0.0102925676911162
lh_bankssts-lh_lateraloccipital,0.017371491976064985,0.018076595174898052
lh_bankssts-lh_lateralorbitofrontal,0.028518681537693043,-0.0069111499615489925
lh_bankssts-lh_lingual,0.006097452205834573,0.02601861644079041
lh_bankssts-lh_medialorbitofrontal,0.02278535727497382,-0.007802529002636518
lh_bankssts-lh_middletemporal,0.03210201462671313,0.00819832737474317
lh_bankssts-lh_parahippocampal,0.015305696426147763,-0.016234549496617245
lh_bankssts-lh_paracentral,0.024115412273592606,-0.005735865776264064
lh_bankssts-lh_parsopercularis,0.01721494903941946,-0.011456840858602388
lh_bankssts-lh_parsorbitalis,0.017198120198134773,-0.013118599905082594
lh_bankssts-lh_parstriangularis,0.026689104900705755,-0.006654271255584016
lh_bankssts-lh_pericalcarine,-0.014041105046516102,0.03514493252952552
lh_bankssts-lh_postcentral,0.022001611899657773,0.011688629972760994
lh_bankssts-lh_posteriorcingulate,0.002448370722254126,-0.017944343467485104
lh_bankssts-lh_precentral,0.029431847007194353,-0.0010787002648513773
lh_bankssts-lh_precuneus,0.029306673132420955,0.002706602503959914
lh_bankssts-lh_rostralanteriorcingulate,0.025315555229179117,-0.020914612901574866
lh_bankssts-lh_rostralmiddlefrontal,0.027695961534996608,0.0046926649694408054
lh_bankssts-lh_superiorfrontal,0.027058684765399514,-0.004888551993527695
lh_bankssts-lh_superiorparietal,0.00823827481022637,-0.0032614273533038067
lh_bankssts-lh_superiortemporal,0.029771818823563584,0.013607698192565033
