,Component_1,Component_2
lh_bankssts-lh_caudalanteriorcingulate,0.007998885924469755,0.03260429240370806
lh_bankssts-lh_caudalmiddlefrontal,0.024018133591996473,0.0020233337059956083
lh_bankssts-lh_cuneus,-0.00484412901542671,0.027243606176788785
lh_bankssts-lh_entorhinal,0.030342282743725763,-0.003331605009527128
lh_bankssts-lh_fusiform,0.024506550474899323,0.010498501715804328
lh_bankssts-lh_inferiorparietal,0.02479373583150462,0.005179239875612184
lh_bankssts-lh_inferiortemporal,0.026578808086757943,0.00656338253654407
lh_bankssts-lh_isthmuscingulate,0.0024952328403152146,0.02019979422456952
lh_bankssts-lh_lateraloccipital,0.005808279724290831,0.021081421808774755
lh_bankssts-lh_lateralorbitofrontal,0.030468729343304437,0.004871021657861609
lh_bankssts-lh_lingual,0.0022143675090431393,0.023968203055297167
lh_bankssts-lh_medialorbitofrontal,0.021379261953534564,0.01774029802729674
lh_bankssts-lh_middletemporal,0.023012719798381067,0.006233941267352724
lh_bankssts-lh_parahippocampal,0.027094897864638524,-0.0009997503157287188
lh_bankssts-lh_paracentral,0.030838953523058266,0.005150753133444865
lh_bankssts-lh_parsopercularis,0.02594991798458176,0.00018690794225775833
lh_bankssts-lh_parsorbitalis,0.021179107834285747,0.014211095899906979
lh_bankssts-lh_parstriangularis,0.030828505438355063,0.0015609775664321714
lh_bankssts-lh_pericalcarine,-0.005194582167352991,0.01301307212351649
lh_bankssts-lh_postcentral,0.019658257402121085,0.014775408476221658
lh_bankssts-lh_posteriorcingulate,0.010184046128009864,0.020587262166348756
lh_bankssts-lh_precentral,0.03150704392608415,-0.003403343729245237
lh_bankssts-lh_precuneus,0.03265184354260783,-0.003359057214565647
lh_bankssts-lh_rostralanteriorcingulate,0.03317013006018135,0.013716679672423512
lh_bankssts-lh_rostralmiddlefrontal,0.01928894985614043,0.011052990180754878
lh_bankssts-lh_superiorfrontal,0.03169566557376888,-0.0014720407789582527
lh_bankssts-lh_superiorparietal,0.012835615682996541,0.01864595330674176
lh_bankssts-lh_superiortemporal,0.0352831239555465,-0.008809027390297939
lh_bankssts-lh_supramarginal,0.031815019187945506,-0.0008709828365876576
lh_bankssts-lh_frontalpole,0.03261492252737549,-0.001083981609835494
lh_bankssts-lh_temporalpole,0.014235199017220562,0.018395078449045414
lh_bankssts-lh_transversetemporal,0.022583076677063,-0.005624665369458844
lh_bankssts-lh_insula,0.010813740507725236,-0.008281600878678519
lh_bankssts-rh_bankssts,0.021859061762776244,-0.014680758372242989
lh_bankssts-rh_caudalanteriorcingulate,-0.0017705295987040567,0.038823451964501425
lh_bankssts-rh_caudalmiddlefrontal,0.030992064342147053,-0.006148126537978259
lh_bankssts-rh_cuneus,0.0014689638832236318,0.009367255889154583
lh_bankssts-rh_entorhinal,0.024875516966279924,0.004970854354708966
lh_bankssts-rh_fusiform,0.023020688156149664,0.01486261820309277
lh_bankssts-rh_inferiorparietal,0.028563543074265816,0.0018260171497964045
lh_bankssts-rh_inferiortemporal,0.02847859511925306,0.007460285996990897
lh_bankssts-rh_isthmuscingulate,0.006758304727677557,0.012263575531706662
lh_bankssts-rh_lateraloccipital,0.004277084059635286,0.022450400696735255
lh_bankssts-rh_lateralorbitofrontal,0.024261165176804517,0.016888900022541006
lh_bankssts-rh_lingual,-0.006284050627801228,0.027567604358194754
lh_bankssts-rh_medialorbitofrontal,0.0277658517291617,0.008893342085916325
lh_bankssts-rh_middletemporal,0.026417444011744947,0.006566798839923514
lh_bankssts-rh_parahippocampal,0.02334904469809559,0.003709431651593254
lh_bankssts-rh_paracentral,0.03449086186679714,-0.005352475318516042
lh_bankssts-rh_parsopercularis,0.03409242703509824,-0.012450985475650997
lh_bankssts-rh_parsorbitalis,0.02294111248759776,0.010830603496573424
lh_bankssts-rh_parstriangularis,0.02587354664566275,0.007331338835033252
lh_bankssts-rh_pericalcarine,-0.005269937733367249,0.0008943268397034181
lh_bankssts-rh_postcentral,0.009427869645361322,0.023061700818616363
lh_bankssts-rh_posteriorcingulate,0.008081204226450903,0.020523535276783644
lh_bankssts-rh_precentral,0.030872721549707507,0.0004307649558665746
lh_bankssts-rh_precuneus,0.031888205743812195,-0.003494339406271158
lh_bankssts-rh_rostralanteriorcingulate,0.034839857119334815,0.010027209816254113
lh_bankssts-rh_rostralmiddlefrontal,0.014490789005626885,0.015522731784071887
lh_bankssts-rh_superiorfrontal,0.032569770573926286,0.0033097584122362
lh_bankssts-rh_superiorparietal,0.008862128146794221,0.018561857019331152
lh_bankssts-rh_superiortemporal,0.03766758847496298,-0.009072593110421948
lh_bankssts-rh_supramarginal,0.03423955924154837,0.00045654009186827255
lh_bankssts-rh_frontalpole,0.029620795251042,0.004003524083801379
lh_bankssts-rh_temporalpole,0.01908104940915115,0.01421319322071274
lh_bankssts-rh_transversetemporal,0.009814391030076511,0.011010888893397899
lh_bankssts-rh_insula,0.017487816988337963,-0.012918778764187212
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-0.0008087749689985779,0.04394085506920731
lh_caudalanteriorcingulate-lh_cuneus,0.01746933939663934,-0.00041577266063284104
lh_caudalanteriorcingulate-lh_entorhinal,0.023940711899191634,0.011612897701431901
lh_caudalanteriorcingulate-lh_fusiform,0.010444174552577963,0.02618096547726465
lh_caudalanteriorcingulate-lh_inferiorparietal,0.011436973409344622,0.029563760102949255
lh_caudalanteriorcingulate-lh_inferiortemporal,0.01832352524129159,0.01922674431068033
lh_caudalanteriorcingulate-lh_isthmuscingulate,0.017043800565914292,0.003546285418599294
lh_caudalanteriorcingulate-lh_lateraloccipital,0.02237269912795026,0.012787699865497703
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,0.007603789905953955,0.030788679119678312
lh_caudalanteriorcingulate-lh_lingual,0.01660312416026921,0.010719715802118604
lh_caudalanteriorcingulate-lh_medialorbitofrontal,0.021263776920459082,0.02292291153451922
