datafield_code,datafield_name
31-0.0,sex
21003-2.0,age
54-2.0,assessment_centre
25741-2.0,head_motion
27174-2.0,lh_caudalanteriorcingulate_thickness
27267-2.0,rh_caudalanteriorcingulate_thickness
27175-2.0,lh_caudalmiddlefrontal_thickness
27268-2.0,rh_caudalmiddlefrontal_thickness
27176-2.0,lh_cuneus_thickness
27269-2.0,rh_cuneus_thickness
27177-2.0,lh_entorhinal_thickness
27270-2.0,rh_entorhinal_thickness
27178-2.0,lh_fusiform_thickness
27271-2.0,rh_fusiform_thickness
27179-2.0,lh_inferiorparietal_thickness
27272-2.0,rh_inferiorparietal_thickness
27180-2.0,lh_inferiortemporal_thickness
27273-2.0,rh_inferiortemporal_thickness
27204-2.0,lh_insula_thickness
27297-2.0,rh_insula_thickness
27181-2.0,lh_isthmuscingulate_thickness
27274-2.0,rh_isthmuscingulate_thickness
27182-2.0,lh_lateraloccipital_thickness
27275-2.0,rh_lateraloccipital_thickness
27183-2.0,lh_lateralorbitofrontal_thickness
27276-2.0,rh_lateralorbitofrontal_thickness
27184-2.0,lh_lingual_thickness
27277-2.0,rh_lingual_thickness
27185-2.0,lh_medialorbitofrontal_thickness
27278-2.0,rh_medialorbitofrontal_thickness
27186-2.0,lh_middletemporal_thickness
27279-2.0,rh_middletemporal_thickness
27188-2.0,lh_paracentral_thickness
27281-2.0,rh_paracentral_thickness
27187-2.0,lh_parahippocampal_thickness
27280-2.0,rh_parahippocampal_thickness
27189-2.0,lh_parsopercularis_thickness
27282-2.0,rh_parsopercularis_thickness
27190-2.0,lh_parsorbitalis_thickness
27283-2.0,rh_parsorbitalis_thickness
27191-2.0,lh_parstriangularis_thickness
27284-2.0,rh_parstriangularis_thickness
27192-2.0,lh_pericalcarine_thickness
27285-2.0,rh_pericalcarine_thickness
27193-2.0,lh_postcentral_thickness
27286-2.0,rh_postcentral_thickness
27194-2.0,lh_posteriorcingulate_thickness
27287-2.0,rh_posteriorcingulate_thickness
27195-2.0,lh_precentral_thickness
27288-2.0,rh_precentral_thickness
27196-2.0,lh_precuneus_thickness
27289-2.0,rh_precuneus_thickness
27197-2.0,lh_rostralanteriorcingulate_thickness
27290-2.0,rh_rostralanteriorcingulate_thickness
27198-2.0,lh_rostralmiddlefrontal_thickness
27291-2.0,rh_rostralmiddlefrontal_thickness
27199-2.0,lh_superiorfrontal_thickness
27292-2.0,rh_superiorfrontal_thickness
27200-2.0,lh_superiorparietal_thickness
27293-2.0,rh_superiorparietal_thickness
27201-2.0,lh_superiortemporal_thickness
27294-2.0,rh_superiortemporal_thickness
27202-2.0,lh_supramarginal_thickness
27295-2.0,rh_supramarginal_thickness
27203-2.0,lh_transversetemporal_thickness
27296-2.0,rh_transversetemporal_thickness
20127-0.0,neuroticism_score
