datafield_code,datafield_name
p31,sex
p21003_i2,age
p54_i2,assessment_centre
p25741_i2,head_motion
p27174_i2,lh_caudalanteriorcingulate_thickness
p27267_i2,rh_caudalanteriorcingulate_thickness
p27175_i2,lh_caudalmiddlefrontal_thickness
p27268_i2,rh_caudalmiddlefrontal_thickness
p27176_i2,lh_cuneus_thickness
p27269_i2,rh_cuneus_thickness
p27177_i2,lh_entorhinal_thickness
p27270_i2,rh_entorhinal_thickness
p27178_i2,lh_fusiform_thickness
p27271_i2,rh_fusiform_thickness
p27179_i2,lh_inferiorparietal_thickness
p27272_i2,rh_inferiorparietal_thickness
p27180_i2,lh_inferiortemporal_thickness
p27273_i2,rh_inferiortemporal_thickness
p27204_i2,lh_insula_thickness
p27297_i2,rh_insula_thickness
p27181_i2,lh_isthmuscingulate_thickness
p27274_i2,rh_isthmuscingulate_thickness
p27182_i2,lh_lateraloccipital_thickness
p27275_i2,rh_lateraloccipital_thickness
p27183_i2,lh_lateralorbitofrontal_thickness
p27276_i2,rh_lateralorbitofrontal_thickness
p27184_i2,lh_lingual_thickness
p27277_i2,rh_lingual_thickness
p27185_i2,lh_medialorbitofrontal_thickness
p27278_i2,rh_medialorbitofrontal_thickness
p27186_i2,lh_middletemporal_thickness
p27279_i2,rh_middletemporal_thickness
p27188_i2,lh_paracentral_thickness
p27281_i2,rh_paracentral_thickness
p27187_i2,lh_parahippocampal_thickness
p27280_i2,rh_parahippocampal_thickness
p27189_i2,lh_parsopercularis_thickness
p27282_i2,rh_parsopercularis_thickness
p27190_i2,lh_parsorbitalis_thickness
p27283_i2,rh_parsorbitalis_thickness
p27191_i2,lh_parstriangularis_thickness
p27284_i2,rh_parstriangularis_thickness
p27192_i2,lh_pericalcarine_thickness
p27285_i2,rh_pericalcarine_thickness
p27193_i2,lh_postcentral_thickness
p27286_i2,rh_postcentral_thickness
p27194_i2,lh_posteriorcingulate_thickness
p27287_i2,rh_posteriorcingulate_thickness
p27195_i2,lh_precentral_thickness
p27288_i2,rh_precentral_thickness
p27196_i2,lh_precuneus_thickness
p27289_i2,rh_precuneus_thickness
p27197_i2,lh_rostralanteriorcingulate_thickness
p27290_i2,rh_rostralanteriorcingulate_thickness
p27198_i2,lh_rostralmiddlefrontal_thickness
p27291_i2,rh_rostralmiddlefrontal_thickness
p27199_i2,lh_superiorfrontal_thickness
p27292_i2,rh_superiorfrontal_thickness
p27200_i2,lh_superiorparietal_thickness
p27293_i2,rh_superiorparietal_thickness
p27201_i2,lh_superiortemporal_thickness
p27294_i2,rh_superiortemporal_thickness
p27202_i2,lh_supramarginal_thickness
p27295_i2,rh_supramarginal_thickness
p27203_i2,lh_transversetemporal_thickness
p27296_i2,rh_transversetemporal_thickness
